,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,V,W,Zn,Zr,url
129,30.0,A 5.22: E 309-LMoT0-1/-4,,,,,,0.02,FCAW Flux-Cored,,23.2,,8556: 23 13 2 L,1.4459,,0.0,,,0,,42.0,,,17633-A: T 23 12 2 L R C/M 3,,1.4,2.3,,AA 309L Mo,,,12.7,,,,0.018000000000000002,"This is a rutile flux cored wire which operates with very stable, spatter free arcs producing bright, smooth weld bead surfaces and self releasing slag. This wire deposits low carbon weld metal of about 23%C13%N2.3%Mo",24,150.0,700.0,540.0,0.006999999999999999,0.7,,"Cladding applications in case a AISI 316 is required in the first layer, suitable for dissimilar welding of steel to stainless steel, heat resistant up to 1050 degrees Celsius.",,,,,,http://www.ceweld.nl/en/product/aa-309l-mo
130,31.0,A 5.22:309 Mo L T1-4,,,"Cladding applications in case a AISI 316 is required in the first layer, suitable for dissimilar welding of steel to stainless steel, heat resistant up to 1050 degrees Celsius",,,0.025,FCAW Flux-Cored,,23.0,,8556: 23 13 2 L,1.4459,,0.0,,,0,AW,110.0,60.0,, 17633-A: T 23 12 2 L P M 1,,0.9,2.3,,AA 309LMoP,,,12.0,,,,,Flux cored wire with slag support for high productivity welding in all positions. Excellent for use on ceramic backing strips. The slag is self detaching and offers extra protection to obtain ray proof weld seams with practically no spatters. Better wetting and welding properties with more productivity compared to solid wires.,24,150.0,600.0,400.0,,0.55,,"Cladding on low alloyed steels in case a 18/8/2 CrNiMo layer is required in the first layer. 1.4401, 1.4404, 1.4406, 1.4410, 1.4437, 1.4571, 1.4580",,,,,,http://www.ceweld.nl/en/product/aa-309lmop
131,35.0,A 5.22: E 309LCb T0-1,,,Cladding mild and low alloyed steels in offshore and or chemical plants in case AISI 347 or AISI 321 are required as clad layer,,,0.03,FCAW Flux-Cored,,23.0,,8556: 23 13 Nb,1.4556,,0.0,,,0,,50.0,,,17633-A: TZ 23 12 Nb RM 3,,1.4,,,AA 309LNb,0.8,,12.5,,,,0.02,"Smooth drop transfer and stable arc with no spatter losses.Excellent  productivity and weldability, better wetting properties compared to solid wires.Excellent weld metal quality and ray soundness and excellent slag removal.Excellent for use in position and down hand as well.High resistance against moisture pick up",24,150.0,650.0,480.0,0.08,0.7,,For steel cladding applications when AISI 347 or 321 is required in the first layer,,,,,,http://www.ceweld.nl/en/product/aa-309lnb
132,38.0,A 5.22: E 309 L T 1-4/-1,,,"Ceweld AA 309LP is used for welding dissimilar steels and 13%Cr/18%Cr stainless steels, and is suitable for welding the first layer on low carbon steel to obtain a AISI 304 clad layer.",,,0.03,FCAW Flux-Cored,,23.5,,8556: 23 12 L,1.4332,,0.0,,,0,AW,55.0,,,17633-A: T 23 12 L P M 1,,1.3,0.1,,AA 309LP,,,12.5,,,,0.0018,"Smooth drop transfer and stable arc with no spatter losses.Excellent productivity and weldability, better wetting compared to solid wires.Excellent weld metal quality and ray soundness and excellent slag removal.Developped for use in position with maximum slag support. High resistance against moisture pick up.",24,150.0,560.0,440.0,0.005,0.7,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels, heat resistant steels etc.
 ",,,,,,http://www.ceweld.nl/en/product/aa-309lp
133,35.0,A 5.22: E 310 T 0-1/-4,,,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers",,,0.18,FCAW Flux-Cored,,25.5,,8556: 25 20,1.4842,,0.0,,,0,AW,70.0,,,12073: T 25 20 R C/M 1,,2.1,,,AA 310,,,20.36,,,,,"For welding hearesistant austenitic steels of the 25% Cr, 20% Ni types. AA 310 has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In no case shall a temperature of 1000°C be exceeded. This alloy can withstand relatively severe thermic shock, and is superior to type 309L.",24,150.0,600.0,410.0,,0.58,,"Stainless and high temperature steels : NF A 35-578 : Z 12 CN 25.20, Z 12 CNS 25.20, Z 15 CN 24.13. AISI : 305, 310, 314 DIN + Werkstoffblatt 470 : X 12CrNi 25.21,   X15CrNiSi 25.20, X15 CrNiSi 20.12 Werkstoff Nr : 1.4826, 1.4828, 1.4835, 1.4837, 1.4840, 1.4841, 1.4845, 1.4846, 1.4847, 1.4848, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 253MA, UGINE : NS 30, R 31.",,,,,,http://www.ceweld.nl/en/product/aa-310
134,24.0,A 5.22: E 312 T0-1 ,,,"Buffer layers before hardfacing, armor plate, exhaust systems, high, Manganese austenitic steel, heterogeneous welding, difficult to weld and unknown steels.",,,0.12,FCAW Flux-Cored,,29.5,,8556: 29 9,1.4337,,0.0,,,0,,,,,T 29/9 RM3 (C3),,1.2,,,AA 312,,,9.5,,,,,"Very good welding characteristics and not sensitive for cracks and fissures. High tensile strength with good corrosion and acid resistance. Scale resistance up to 1150ºC, crack and wear resistant, suitable for rebuilding wornout parts. Excellent corrosion resistance against high temperature liquid acids. Much better welding characteristics than solid wire.
 ",24,150.0,740.0,580.0,,0.6,,"Stainless steel, C45, C60, Manganese steel, Spring steel, Buffer layers! 25CrMo4, 42CrMo4, 50CrMo4, 42MnV7, 1.7218, 1.7225, 1,7228, 1.5223, AISI 4130, 4140, 4150 hss, high speed steel, stainless steel, cast steel, unknown steel, difficult to Weld steel, cock wheels,",,,,,,http://www.ceweld.nl/en/product/aa-312
135,46.8,A 5.22: E 316-LT1-4,,,"Boilers, shipbuilding, machinery, offshore application, foundries, chemical industry, orbital tube welding etc.",,,0.03,FCAW Flux-Cored,,18.5,,8556: 19 12 3,1.443,,0.0,,,0,,47.0,,32.0,17633-A: T 19 12 3 L R M 3,,1.4,2.55,,AA 316L,,,12.5,,,,,"Flux cored wire with slag support for high productivity welding in all positions. Excellent for use on ceramic backing strips. The slag is self detaching and offers extra protection to obtain ray proof weld seams with practically no spatters. Better wetting and welding properties with more productivity compared to solid wires. The 0,9 and 1,0 mm can be used for all positions including vertical down and is classified as: AWS A 5.22: E 31LT4",24,150.0,524.0,382.0,,0.7,,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,,,,,http://www.ceweld.nl/en/product/aa-316l
136,38.0,A 5.22: R 316-LT1-5,,,"Boilers, shipbuilding, machinery, offshore application, foundries, chemical industry, root pass welding when backing gas is not available or prefered.",,,0.02,FCAW Flux-Cored,,18.9,,,1.443,,0.0,,,0,AW,110.0,,,1.4430,,1.6,2.3,,AA 316L TIG,,,12.5,,,,,Flux cored wire with slag support for high productivity welding especialy for root welding. The slag is self detaching and offers a unique protection against oxidation on the reverse side of the root pass. Saving the cost for back shielding gas and purging time makes AA 316L Tig a very economical option.,24,150.0,600.0,440.0,,0.9,,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,,,,,http://www.ceweld.nl/en/product/aa-316l-tig
137,46.8,A 5.22: E 316L T 1-4/-1,,,Welding stainless steel types of the AISI 316 grade in case high weld metal quality and a attractive bead appearance are required. ,,,0.03,FCAW Flux-Cored,,18.5,,8556: 19 12 3 L,1.443,,0.0,,,0,,47.0,32.0,,17633-A: T 19 12 3 L P M 1,,1.4,2.55,,AA 316LP,,,12.5,,,,,"Smooth drop transfer and stable arc with no spatter losses. Excellent  productivity and weldability, better wetting properties compared to solid wires. Excellent weld metal quality and ray soundness and excellent slag removal.Excellent for use in position and down hand as well. Suitable for Co2 and M21.",24,150.0,524.0,382.0,,0.7,,"Stainless steels for general use: NF A 35-573, 35-574, 35-575, 35-576 : Z2 CND 17.12, Z2 CND 17.13, Z6 CND 17.11, Z6 CND 12. ASTM/AISI : 316, 316 L, 316 LN. DIN 17 440 : X2 Cr NiMo 18.19, X2 Cr Ni Mo 18.10, X2 Cr NiMo 18.12, X5 Cr Ni Mo 18.10, X5 Cr Ni Mo 18.12 Werkstoff Nr : 1.4401, 1.4404, 1.4435, 1.4436, 1.4571, 1.4573, 1.4580, 1.4583, 1.4437. UGINE :NSM 21 S, MKS.",,,,,,http://www.ceweld.nl/en/product/aa-316lp
138,,A 5.22: E 317LT0-1/-4,,,,,,,FCAW Flux-Cored,,,,8556: 19 13 4 N,1.4438,,0.0,,,0,,,,,17633-A: T Z 19 13 4 L R C/M 3,,,,,AA 317L,,,,,,,,,1,,,,,,,"1.4429, 1.4435, 1.4438, AISI 316L, 316LN, 317LN, 317L",,,,,,http://www.ceweld.nl/en/product/aa-317l
139,31.0,A 5.22: E 318 T 0-4,,,Developed for welding stabilized CrNi(N) and CrNiMo(N) types.,,,0.02,FCAW Flux-Cored,,18.5,,8556: 19 12 3 Nb,1.4576,,0.0,,,0,AW,57.0,,,17633-A: T 19 12 3 Nb R M 3,,1.3,2.8,,AA 318,0.4,,11.6,,,,0.02,,24,150.0,670.0,500.0,0.012,0.5,,"1.4583 X102CrNiMoNb 18 12 316Cb 1.4404, X2CrNiMo 17 12 2, (TP) 316L 1.4401, X4CrNiMo 17 12 2, (TP) 316 1.4571 X6CrNiMo 17 12 2 316 Ti, 1.4580, X6CrNiMoNb 17 12 3, 316Cb 1.4581 G-X5CrNiMoNb 19 11 2, 1.4437 G-X6CrNiMo 18 12, 1.4406, X2CrNiMoN 17 12 3, (TP)316LN",,,,,,http://www.ceweld.nl/en/product/aa-318
140,48.0,A 5.22: R 347T1-5,,,"Boilers, shipbuilding, machinery, offshore application, foundries, chemical industry, root pass welding when backing gas is not available or prefered.",,,0.02,FCAW Flux-Cored,,19.0,,,1.4551,,0.0,,,0,AW,130.0,,,1.4551,,1.6,,,AA 347 TIG,,0.7,10.2,,,,0.021,"These are all rutile flux cored TIG filler rods for root pass welding of stainless steel pipe without the need for a reverse side back purge (internal shielding gas). As they produce a slag, they are not recommended for multpass welding.",24,150.0,630.0,460.0,0.004,0.8,,Suitable for 18%Cr-8%Ni+Ti or 18%Cr-8%Ni+Nb stabilized stainless steel.,,,,,,http://www.ceweld.nl/en/product/aa-347-tig
141,37.0,A 5.22: E 347 T1-1/4,,,For welding stainless austenitic steels that are exposed to working temperatures up to + 400°C.,,,0.03,FCAW Flux-Cored,,18.7,,8556: 19 9 Nb,1.4551,,0.0,,,0,AW,83.0,,,17633-A: T 19 9 Nb P C/M 2,,1.3,,,AA 347H,0.6,,10.4,,,,,"The weld deposit is scalresistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish. Structure: Austenite with delta ferrite. This fluxcored wire offers higher productivity, higher deposition rate and improved wetting properties due to slag support especially in positional welding. Excellent weldabillity and suitable for use with ceramic backing strips. Excellent weld metal quality and ray soundness.
 ",24,150.0,617.0,440.0,,0.6,,"

1.45411.45501.45521.43191.43061.4306
X 6 CrNiTi 18 10X 6 CrNiNb 18 10G-X 5 CrNiNb 18 9X 5 CrNi 18 7X 2 CrNi 19 11G-X 2 CrNi 18 9
1.43011.43031.43081.4310  1.4312-
X 5 CrNi 18 10X 5 CrNi 18 12G-X 6 CrNi 18 9X 12 CrNi 17 7G-X 10 CrNi 18 8-


-Stainless steels for general use : NF A 35-573, 35-574, 35-575, 35-576 : Z6 CNT 18.10, Z6 CN Nb 18.10, Z2 CN 18.10, Z6 CN 18.09. :NS 21 C",,,,,,http://www.ceweld.nl/en/product/aa-347h
142,,A 5.22: E 410,,,,,,,FCAW Flux-Cored,,,,8556: ,1.4009,,0.0,,,0,,,,,17633-A:,,,,,AA 410,,,,,,,,,1,,,,,,,"rebuilding and cladding martensitic and martensitic/ferritic, forged and cast steels
",,,,,,http://www.ceweld.nl/en/product/aa-410
143,,A 5.22: E 410NiMo ,,,"Continuous casting rolls, centrifuges, valves, Pelton- and Francis- turbines",,,0.05,FCAW Flux-Cored,,13.5,,8555: MF 5-40-CP,1.4351,79.4,0.0,,40.0,4,AW,,,,14700: ~410NiMo,,0.9,0.75,,AA 410 NiMo,,,4.5,,,,,"Hardfacing alloy for cladding steel mill rollers, thermoshock resistant and suitable for Francis and Pelton turbines. Used in steam power plants for its excelent resistance to cavitation and stress corrosion cracking. AA 410NiMo is a CNMoalloyed, gashielded flucored wire electrode for cladding. The corrosion resistant deposit offers a medium hardness and is resistant against metametal wear and high surface pressure.
 ",24,150.0,,,,0.9,,"Water and steam turbine parts of the same kind, thermoshock and high heat resistant. 1.4313, 1.4002, (G)X5CrNi(Mo) 13 4, X6CrAl 13, Grade CA 6 NM.",,,,,,http://www.ceweld.nl/en/product/aa-410-nimo
144,20.0,A 5.22:,,,"-  Cap layers for joining refractory Cr-Al-Si steels. 
-  Cladding corrosion resistant overlays. 
-  Cladding heat resistant overlays up to 1100ºC. 
-  Cladding components in a sulphurous environment. ",,,0.08,FCAW Flux-Cored,,25.0,,8556: 25 4,1.482,,0.0,,,0,AW,40.0,,,12073: TZ 25 4 MM 1,,0.7,,,AA 4820,,,4.0,,,,0.02,"Higher productivity, higher deposition rates and improved wetting properties compared to solid wires with comparable analysis. Excellent weld metal quality and ray soundness.",24,150.0,750.0,570.0,0.008,0.8,,"1.4710 G-X30CrSi6, 1.4745 G-X40CrSi23 TP433, 1.4712 X10CrSi6 502, 1.4762 X10CrAl24 TP443, 1.4713 X10CrAl7 502, 1.4773 X8Cr30, 1.4722 X10CrSi13, 1.4776 G-X40CrSi29, 1.4724 X10CrAl13 TP405-CA15, 1.4820 G-X12 CrSi 26 5, 1.4729 G-X40CrSi13 , 1.4821 X20 CrNiSi 25 4 TP329, 1.4740 G-X40CrSi17 , 1.4822 G-X40CrNi 25 4 TP329, 1.4742 X10CrAl18 430B-TP430 1.4823 G-X40CrNiSi 27 4 TP329HC",,,,,,http://www.ceweld.nl/en/product/aa-4820
145,,A 5.21:,,,Rebuilding wornout parts or protecting new machine parts to increase life that suffer from extreme abrasive wear,2.2,,2.5,FCAW Flux-Cored,,11.5,,8555: MF 10 GF - 70 G,,,0.0,,66.0,1,,,,,14700: ~T Fe16,,2.0,,,AA 66B,5.0,,,,,,,"High CNb, alloyed flucored wire electrode which forms extremely hard complex carbides for extremely wear resistant deposits on parts subject to excessively heavy abrasive wear weldable under mixed gas. Extreme good wear resistance due to excelent first layer hardness properties. More than 1 or 2 layers should not be deposited. A Buffer layer with OA 4370 or OA MnCr is recommended in case of old layers or critical base metals..",0,,,,,0.6,,"64-68 HRc Hardfacing wire used in mining, agriculture and steel mills, conveyor chains, agriculture, construction, mixer blades, paddles, cement pumps with excelent abrasion and wear resistance against sand and minerals",,,,,,http://www.ceweld.nl/en/product/aa-66b
146,36.0,A 5.22: E 385LT0-1/-4*,,,"Tanks and process vessels, Piping systems, agitators, rotors, cast pumps and valves for use in the fertilizer, phosphoric,sulphuric and acetic acid plants",,,0.03,FCAW Flux-Cored,,20.9,1.34,8556: 20 25 5 L Cu,1.4539,,0.0,,,0,AW,,,61.0,17633-A: T 20 25 5 Cu N L P M 2,,1.56,4.8,0.13,AA 904L,,,25.3,,,,0.024,"The Ceweld AA 904L is used for welding materials of similar chemical composition which are used for fabrication of equipment and vessels for handling of sulfuric acid and many chloride containing media. This fluxcored wire may also find applications for joining Type 317L material where improved corrosion resistance in specific media is needed. In order to reduce the propensity for fissuring and hot cracking, the low melting constituents such as carbon, silicon, and phosphorus are controlled to lower levels in this alloy.",24,150.0,664.0,423.0,0.003,0.66,,"W.Nrs: 1.4500, 1.4505, 1.4506, 1.4531, 1.4536, 1.4539, 1.4573, 1.4585, 1.4586, 4 NS N 08904 1.4539, 1.4537, 1.4519, 1.4505, UNS N08904, S31726, X1NiCrMoCu 25-20-5, X1CrNiMoCuN 25-25-5, X4NiCrMoCuNb 20-18-2, Uranus B6",,,,,,http://www.ceweld.nl/en/product/aa-904l
147,17.0,5.28 : E90C-B9 ,,0.03,"Headers, main steam piping and turbine casings, in fossil fuelled power generating plants. Oil refineries and coal liquefaction and gasification plants.",,,0.1,FCAW Flux-Cored,,9.0,0.05,,,,760.0,,260.0,1,SR,27.0,,,17634-B:2006 T69T15-0M-9C1MV  ,,1.0,1.0,0.05,AA 90S-B9,0.05,,0.3,,,,0.01,"AA 90B9 is designed to weld equivalent ‘type 91’ P91 9CrMo steels modified with small additions of niobium, vanadium and nitrogen to give improved long term creep properties. These consumables are specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strength are kept above the minimum considered necessary to ensure satisfactory performance. In this case, weldments will be weakest in the softened (intercritical) HAZ region of parent material, as indicated by scalled ‘type IV’ failure in transverse weld creep tests.",24,150.0,780.0,650.0,0.008,0.3,,"A 213 T91 (seamless tubes), A 335 P91 (seamless tubes), A 387 Gr91 (plates), A 182 / A336 F91 (forgings), X10CrMoVNb 91, 1503 Gr91, AFNOR NF A-49213/A-49219 Gr TU Z 10, CDVNb 09-01",,0.2,,,,http://www.ceweld.nl/en/product/aa-90s-b9
148,24.0,5.20: E70 T5M-J H4,,,"Shipbuilding, bridge construction, steel construction, mechanical engineering, pressure vessels and boiler constructions, foundries. ",,,0.05,FCAW Flux-Cored,,,,,,,0.0,,,0,SR,100.0,60.0,47.0,17632-A: T 46 6 B M 3 H5 / T 42 4 B C 3 H5,,1.4,,,AA B460,,,,,,,0.015,Absolutele crack resistant weld metal conditioned by the higbasic slag combined with ultra low hydrogen content (<3ml). High mechanical properties also for singlsided weldings on ceramics. raproof seams with low spatter loss. Suitable for higcarbon steels and  welding critical  mixed combinations. Metallurgical ideal filler metal for repair and production weldings as well as for buffer layers.,0,,570.0,460.0,0.015,0.4,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 445.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS235 - S460QL1X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--


",,,,,,http://www.ceweld.nl/en/product/aa-b460
149,23.0,5.29: E 90T5-K2M-J H4,,,"Pressure vessels, steam boilers, riser pipes, low temperature requirements, high demanding and stressed constructions that needs post weld heat treatment. ",,,0.085,FCAW Flux-Cored,,0.02,0.12,,,,0.0,,,0,AW/PWHT,,,50.0,,,1.55,,,AA B500,,,0.97,,,,0.011,High basic seamless fluxcored welding wire for extreme offshore requirements at sub zero temperatures down t80 degrees Celsius. Excelent welding properties and very low hydrogen content due to the seamless production proces.,0,,600.0,500.0,0.006999999999999999,0.5,,"X80, P500QL2, P420, S460, AISI 4130, 8630 and similar grades that require yield strength above 500 N/mm2 fulfilling NACE requirements in combination with high impact properties at extreme sub zero temperatures.",,,,,,http://www.ceweld.nl/en/product/aa-b500
150,17.0,5.29: E110T5-K4M H4,,,"Crane-, plant-, craft- and steel construction, pipe work, foundries",,,0.05,FCAW Flux-Cored,,0.5,,,,,580.0,2.0,,0,SR,,80.0,69.0,18276-A: T 69 6 Mn2NiCrMo B M 3 H5,,1.6,0.5,,AA B690,,,2.2,,,,0.015,"Absolutely crack resistant weld metal conditioned by the higbasic slag in combination with extreme low hydrogen content. Therefore, suitable for the economic processing of higstrength, low temperature fingrained structural steels with R p0,2 >690 N/mm. raproof seams with low spatter loss. Stable, mechanical property values of the weld metal also at high heat input up to 18 kJ/cm",0,,835.0,6.0,0.015,0.4,,"StE 690.7 TM, L690M, A517, StE 690V, S690QL, 690 VA, S690G1QL1, weldox 700, dilimax, Naxtra 70, S690, S620Ql1, S690QL1, S600MC, S700MC, Naxtra 63, Naxtra 70, Optim 700 mc plus, TStE620, TStE690, Weldox 500, Weldox 700, Hardox, L480 - L550, X65, X80, X90, X100, Hardox 400, XAR 400, Dilidur 400, 20MnCr65, 28CrMn43, Oceanfit 100, Oceanfit 690, 4130, 4140",,,,,,http://www.ceweld.nl/en/product/aa-b690
151,15.0,5.28: E 120 C-K4 H4,,,"Crane-, plant-, craft- and steel construction, pipe work, foundries. 
",,,0.07,FCAW Flux-Cored,,1.2,,,,,580.0,2.0,,0,AW/SR,60.0,,,18276: T 89 4 Z  M M 1 H5,,1.3,1.0,,AA B890 SR,,,2.3,,,,0.015,"Remarkable crack resistant weld metal in combination with very low hydrogen content. Therefore, suitable for the economic processing of higstrength and low temperature fingrained structural steels. Exelent welding properties in short and spray arc. Excelent gab bridging for root welds. High deposition rate and no intermediate cleaning required with very low spatter loss. Weld metal is heat treatable. ",0,,1080.0,8.0,0.015,0.6,,"XABO 90, StE890V, weldox 700, weldox 900, StE960 TM, 42CrMo4, 1.7225, 1.8914DIN 25CrMo4, 34CrMo4, 42CrMo4, 28NiCrMo44, till EStE 890 VA, till StE 890 (1.8979), EN 25CrMo4, 34CrMo4, 42CrMo4, 28NiCrMo44, till S890QL1
Domex 650 MC, Domex 700 MC",,,,,,http://www.ceweld.nl/en/product/aa-b890-sr
152,20.0,5.29: E80T5-B2 H4,,,"Steam boiler, pressure vessels, apparatus construction, mechanical engineering, pipe work, steam turbine construction, foundries. 
",,,0.07,FCAW Flux-Cored,,1.1,,,,,0.0,,,0,,80.0,,,17634-A: T CrMo1 B M 3 H5,,1.1,0.5,,AA BCrMo1,,,,,,,0.012,Absolutely crack resistant  weld metal conditioned by the higbasic slag in combination with very low hydrogen content. Suitable for the economic processing on higtemperature resistant CrMsteels up to 550 °C. raproof seams with negligible formation of spatter. ,0,,640.0,480.0,0.012,0.3,,"13CrMo44, 13CrMo4-5, A 387 Gr. 11-12, 24CrMo5, GS 17CrMo55, GS 22CrMo54, G 17CrMo5-5, G22CrMo5-4",,,,,,http://www.ceweld.nl/en/product/aa-bcrmo1
153,18.0,A5.29: E90T5-B3M H4,,,"Construction of containers, Boiler and machinery parts, Steam boilers and turbines, 2,25Cr1Mo steels, pipelines. Suitable for one- of multi layer welding.",,,0.07,FCAW Flux-Cored,,2.3,,,,,675.0,1.0,,0,SR/AN,120.0,80.0,60.0,17634-A: T CrMo2 B M 3 H5,,1.0,1.1,,AA BCrMo2,,,,,,,0.015,Absolutely crack resistant weld metal conditioned by the higbasic slag in combination with very low hydrogen content. Suitable for heat treatment. Step cooling is possible. High reserve of toughness and crack resistance.,1,,690.0,540.0,0.015,0.3,,"Boiler steels 10CrMo9-10, 10CrSiMoV7, 12CrMo9-10, A 387, CrMo2",,,,,,http://www.ceweld.nl/en/product/aa-bcrmo2
154,22.0, 5.29: E 80T5-A1M H4,,,"Steel and vessel construction, boiler works, mechanical engineering and pipework.",,,0.05,FCAW Flux-Cored,,,,,,,6.0,,,0,AW/SR/AN,60.0,47.0,, 17634-A: T Mo B M 3 H5,,1.4,0.5,,AA BMo,,,,,,,0.015,"Excellent weld puddle manipulation, Low spatter loss, easy slag removal. Suitable for economic welding of Msteels up to 500°C (932°F).",0,,645.0,460.0,0.015,0.3,,"HI, HII, 17Mn4, 19Mn5, 15Mo3, 16Mo3, P235GH, P265GH, P295GH, 16Mo3 typical, A 204 Gr. A - C, ASTM A106 gr. A-B-C, St 35.8, St 45.8, StE 210.7 TM - StE 480.7 TM, P235T1/T2 - P355N, L210 - L485, StE 255 to StE 460, S255 - S460, 1.5415, 1.0481, 1.0482,1.0425, 1.0354",,,,,,http://www.ceweld.nl/en/product/aa-bmo
155,48.0,A 5.34: E NiCrMo4 T 1-4,,,"AA C-276 is used for welding materials of similar composition. This low carbon nickel-chromium-molybdenum filler metal can also be used for dissimilar welding between nickel base alloys and super austenitic stainless steels, as well as for surfacing and cladding on low alloyed steels.",,,0.018000000000000002,FCAW Flux-Cored,,15.5,0.06,,2.4886,6.02,0.0,,,0,AW,66.0,58.0,52.0,14172: T Ni6276,,0.74,15.9,,AA C-276,,,57.5,,,,,"Due to high molybdenum content this alloy offers excellent resistance to stress & corrosion cracking, pitting and crevice corrosion. High mechanical properties with excellent weldability due to improved wetting compare to solid wire.",24,150.0,104.4,66600.0,,0.16,,"Hasteloy C276, NiCrMo alloys, aggresive media, against pitting and crevice corrosion, dissimilar joint of nickel alloys and stainless steels,",,,3.6,,,http://www.ceweld.nl/en/product/aa-c-276
156,,A 5.21:,,,"The characteristics of the deposit are comparable with cobalt-base alloys in terms of thermal shock and corrosion resistance that makes this alloy aplicable for overlaying parts that are subject to high temperatures combined with corrosion attack, wear and thermal shock combinations. AA CrCoMo 46 can be used as intermediate layer against metal to metal wear at high pressure loads.",,,0.15,FCAW Flux-Cored,15.0,15.0,,8555: MF-3-45-CKTZ,,64.5,0.0,,46.0,4,AW,,,,14700: T Z Fe 3-45-CKTZ,,0.45,4.0,,AA CrCoMo 46,,,0.6,,,,,Very good corrosion resistance combined with excelent hardness properties at temperatures upto 650°C. Scale resistant till 900°C and excellent strength at high working temperatures. Excellent weldability and often used as economical alternative for „stellite“,24,150.0,,,,0.3,,"Hot rolling parts for continuous casting, hotpress tools, pump parts, sleeves, mandrels, forging hammers, chemical and glas industry.",,,,,,http://www.ceweld.nl/en/product/aa-crcomo-46
157,,,,,Hot working tools such as: Dies and Continuous casting rollers.,,,0.1,FCAW Flux-Cored,14.0,15.0,,8555: MF 3-50-CKTZ,,,0.0,,49.0,4,,,,,14700: no standard,,0.4,3.2,,AA CrCoMo-50,,,,,,,,Very good corrosion resistance and high hardness due to the amount of „Cobalt“ even at higher temperatures. Excellent weldability and often used as economical alternative for „stellite“ . ,24,150.0,,,,0.7,,"48-50 HRc hardfacing alloy containing Cobalt for excelent metal to metal wear, hot working tools, dies and continuous casting rollers.",,,,,,http://www.ceweld.nl/en/product/aa-crcomo-50
158,,A 5.01: Class T3,,12.5,"Cladding components undergoing metal to metal wear with high friction and or heavy surface loads on top of cast iron, steels and or bronzes. ",,,,GMAW-GTAW Solid wires,,,1.0,8555: MSG31-GF-300-C,,3.6,0.0,,320.0,1,,,,,14700: TCu1,,0.5,,,AA CuAl12Fe,,,0.35,,,,,"Special alloyed copper composite wire suitable for the Mig processThe weld metal is a CAl bronze with extreme high aluminium content.Sound, pore free deposits with excelent sliding properties and low friction.",0,,,,,,,"Deep drawing dies for stainless steel, aluminium, magnesium and titanium parts. Sleeves, spindles, cable winches guides, gliding surfaces, pulling equipment. (usualy preheating 300°C prior to welding is recomended to reduce cracks) ",,,,,,http://www.ceweld.nl/en/product/aa-cual12fe
