,As,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Nb,Ni,Ni+Mn,P,P S,S,S Ni,SN,Si,Si P,Sn,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,category,name,url
78,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,490.0,,400.0, E7018 H4R,,257,,Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION",,,,
79,,,122.0,,,,28.0,,,,,,,,,,,,,,,,,612.5,,547.5, E8018-C3 H4R,,25,,Requirements - AWS E8018-C3 H4R,Typical Results(3) - As-Welded,,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric)
80,,0.12,226.5,0.2,,,31.0,,1.3,,0.5,,,1.0,,0.03,,,,,0.8,,,557.5,0.05,470.0, E7018 H4R,nan,258,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION",nan,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet2X(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet2X(LincolnElectric)
81,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,490.0,,400.0,"
 E7018-1 H4R",,260,,"Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded",,,,
82,,0.12,112.5,0.2,,,28.0,,1.3,,0.5,,,1.0,,0.03,,,,,0.8,,,585.0,0.05,485.0,"
 E7018-1 H4R",nan,261,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t","Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded",nan,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet5(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet5(LincolnElectric)
83,,,27.0,0.30000000000000004,0.2,4.0,22.0,,1.0,,0.2,,,,,0.03,,,0.265,,0.8,,,490.0,0.1,400.0, E7028 H8,"diameters-/-packaging
diameter-length-1
018-g-h4",264,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",Requirements - AWS E7028 H8,Typical Results(3) - As-Welded,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9(LincolnElectric)
84,,0.05,138.5,0.05,0.02,2.5,30.5,,1.35,,0.28,,,,,0.015,,,0.54,,0.51,,,550.0,0.01,460.0, E7028 H8,"diameters-/-packaging
diameter-length-1
018-g-h4",265,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",Requirements - AWS E7028 H8,Typical Results(3) - As-Welded,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9(LincolnElectric)
85,,0.2,27.0,0.30000000000000004,,,22.0,,1.2,,,,,0.2,,,,,,,1.0,,,490.0,,400.0, E7018 H4R,"typical-applications
•-small-ac-welders
•-sheet-metal
•-edge,-corner-and-butt-joints
•-welding-on-galvanized-and-specially-coated-steels",267,"•-ac-polarity-welding
•-performs-on-low-amperages-and-ocv
•-easy-to-strike-arc
welding-positions
all",Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,"conformances
aws-a5.1/a5.1m:-e6011
asme-sfa-a5.1:-e6011
cwb/csa-w48-06:-e4311",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9-B9(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9-B9(LincolnElectric)
86,,0.165,245.0,,,,29.5,,0.5750000000000001,,,,,,,0.0115,,,,,0.34,,,530.0,,442.5, E7018 H4R,"typical-applications
•-small-ac-welders
•-sheet-metal
•-edge,-corner-and-butt-joints
•-welding-on-galvanized-and-specially-coated-steels",268,"•-ac-polarity-welding
•-performs-on-low-amperages-and-ocv
•-easy-to-strike-arc
welding-positions
all",Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,"conformances
aws-a5.1/a5.1m:-e6011
asme-sfa-a5.1:-e6011
cwb/csa-w48-06:-e4311",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9-B9(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9-B9(LincolnElectric)
87,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,490.0,,400.0, E7018 H4R,nan,270,"ck-electr
properties-and-tec
rode
chniques",Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,nan,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9MVN(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9MVN(LincolnElectric)
88,,,254.5,,,,28.0,,,,,,,,,,,,,,,,,567.5,,492.5, E7018 H4R,,271,,Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9MVN(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9MVN(LincolnElectric)
89,,0.06,27.0,,,,19.0,,1.35,,,,,,,0.0125,,0.008,,,0.53,,,550.0,,460.0,"
 E8010‐P1","typical-applications
•-root-pass-welding-of-up-to-x100-grade-pipe
welding-positions
all",273,"•-hot,-fill-and-cap-pass-welding-up-to-x60
•-low-hydrogen,-vertical-up-capability-on-x60-grade-pipe-
•-q2-lot®-certificates-showing-actual-deposit-chemistry-
and-mechanical-properties-available-online
•-dc-(dcen)-is-the-recommended-polarity-for-root-pass-
welding-on-pipe","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded","conformances
aws-a5.1:-e7016-1-h4
asme-sfa-a5.1:-e7016-1-h4",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-E9018D1-E9018D1(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-E9018D1-E9018D1(LincolnElectric)
90,,,,,,,17.0,,,,,,,,,,,,,,,,,620.0,,530.0, E9018-B3 H4R,,27,,Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric)
91,,0.13,99.0,0.03,,,25.5,,0.515,,0.03,,,0.03,,0.011,,0.0095,,,0.26,,,560.0,0.01,510.0,"
 E8010‐P1",diameters-/-packaging,274,"•-deep-arc-penetration
•-light-slag-with-mal-arc-interference
•-excellent-vertical-and-overhead-capability","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded","•-steel-with-moderate-surface-contants
•-cross-country-and-in-plant-pipe-welding
•-square-edge-butt-welds
•-welding-on-galvanized-and-specially-coated-steels",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-E9018D1-E9018D1(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-E9018D1-E9018D1(LincolnElectric)
92,,0.2,27.0,0.2,,,22.0,,1.2,,0.30000000000000004,,,0.30000000000000004,,,,,,,1.0,,,490.0,0.08,400.0, E7018 H8,"typical-applications
•-cross-country-and-in-plant-pipe-welding
•-steel-with-moderate-surface-contants
•-repair-welding",276,"•-high-operator-appeal-and-control
•-easy-slag-removal
•-standard-in-the-pipe-welding-industry
welding-positions
all",Requirements - AWS E7018 H8,Typical Results(3) - As-Welded,"conformances
aws-a5.1/a5.1m:-e6010
asme-sfa-a5.1:-e6010
abs:-e6010
cwb/csa-w48-06:-e4310
tuv:-en-iso-2560-a:-e-42-3-c25",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR(LincolnElectric)
93,,0.145,51.5,0.04,,,26.0,,0.625,,0.02,,,0.04,,0.011,,0.009000000000000001,,,0.21,,,600.0,0.01,530.0, E7018 H8,"typical-applications
•-cross-country-and-in-plant-pipe-welding
•-steel-with-moderate-surface-contants
•-repair-welding",277,"•-high-operator-appeal-and-control
•-easy-slag-removal
•-standard-in-the-pipe-welding-industry
welding-positions
all",Requirements - AWS E7018 H8,Typical Results(3) - As-Welded,"conformances
aws-a5.1/a5.1m:-e6010
asme-sfa-a5.1:-e6010
abs:-e6010
cwb/csa-w48-06:-e4310
tuv:-en-iso-2560-a:-e-42-3-c25",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR(LincolnElectric)
94,,0.2,27.0,0.30000000000000004,,,16.0,,1.2,,,,,0.2,,,,,,,1.0,,,690.0,,600.0, E10018-D2 H4R,"aws-a5.1/a5.1m:-e6013
asme-sfa-a5.1:-e6013
abs:-e6013
lloyd’s-register:-3m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb/csa-w48-06:-e4313
en-iso-2560-b:-e4313-a
welding-positions
all",280,"•-operable-with-low-amperages-on-sheet-metal
•-excellent-bead-appearance
•-slag-control-accommodates-vertical-down-welding",Requirements - AWS E10018-D2 H4R,"Typical Results(3) - Stress-Relieved
  1 hr @ 620°C (1150°F)","•-sheet-metal
•-irregular-short-welds-that-change-positions
•-maintenance-or-repair-welding
•-for-use-with-small-ac-welders-with-low-ocv",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR-N(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR-N(LincolnElectric)
95,,0.055,62.5,,,,23.5,,0.385,,,,,,,0.015,,,,,0.2,,,752.5,,682.5, E10018-D2 H4R,"aws-a5.1/a5.1m:-e6013
asme-sfa-a5.1:-e6013
abs:-e6013
lloyd’s-register:-3m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb/csa-w48-06:-e4313
en-iso-2560-b:-e4313-a
welding-positions
all",281,"•-operable-with-low-amperages-on-sheet-metal
•-excellent-bead-appearance
•-slag-control-accommodates-vertical-down-welding",Requirements - AWS E10018-D2 H4R,"Typical Results(3) - Stress-Relieved
  1 hr @ 620°C (1150°F)","•-sheet-metal
•-irregular-short-welds-that-change-positions
•-maintenance-or-repair-welding
•-for-use-with-small-ac-welders-with-low-ocv",,,
96,,0.15,27.0,0.30000000000000004,,,20.0,,1.25,,0.08,,,0.2,,0.035,,,,,0.9,,,760.0,,720.0, E11018M H4R,"aws-a5.1/a5.1m:-e7014
asme-sfa-a5.1:-e7014
abs:-e7014
lloyd’s-register:-1m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb:-e4914
welding-positions
all",283,"•-high-deposition-rates
•-excellent-operator-appeal
•-easy-to-use
•-operates-on-low-amperages",Requirements - AWS E11018M H4R,Typical Results(3) - As-Welded,"•-maintenance-and-repair-welding
•-sheet-metal-and-fillet-welds
•-heavy-sections",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-1MR(LincolnElectric)
97,,0.08,89.5,,,,23.0,,0.46,,,,,,,0.015,,,,,0.365,,,786.0,,724.0, E11018M H4R,"aws-a5.1/a5.1m:-e7014
asme-sfa-a5.1:-e7014
abs:-e7014
lloyd’s-register:-1m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb:-e4914
welding-positions
all",284,"•-high-deposition-rates
•-excellent-operator-appeal
•-easy-to-use
•-operates-on-low-amperages",Requirements - AWS E11018M H4R,Typical Results(3) - As-Welded,"•-maintenance-and-repair-welding
•-sheet-metal-and-fillet-welds
•-heavy-sections",,,
98,,,,0.30000000000000004,,,22.0,,1.0,,0.2,,,0.5,,0.03,,,,,0.8,,,490.0,0.1,390.0, E7018-A1 H4R,"key-features
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)superior-puddle-control",286,"conformances
aws-a5.5/a5.5m:-2006-e8010-g,-e8010-p1*
asme-sfa-a5.5:-e8010-g,-e8010-p1*
abs:-e8010-g
cwb/csa-w48-06:-e5510-g
tuv:-din-en-iso-2560-a:e
*-this-product-is-classified-as-an-e8010-g;-however,-it-also-meets-the-requirements-of-an-e8010-p1.
welding-positions
all",Requirements - AWS E7018-A1 H4R,"Typical Results(3) - As-Welded
   Stress-Relieved 1 hr @ 620°C (1150°F)","diameters-/-packaging
diameter-length",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7028(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7028(LincolnElectric)
99,,0.15,95.0,0.105,,,28.5,,0.9,,0.1,,,0.86,,,,,,,0.17500000000000002,,,575.0,0.03,485.0, E7018-A1 H4R,"key-features
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)superior-puddle-control",287,"conformances
aws-a5.5/a5.5m:-2006-e8010-g,-e8010-p1*
asme-sfa-a5.5:-e8010-g,-e8010-p1*
abs:-e8010-g
cwb/csa-w48-06:-e5510-g
tuv:-din-en-iso-2560-a:e
*-this-product-is-classified-as-an-e8010-g;-however,-it-also-meets-the-requirements-of-an-e8010-p1.
welding-positions
all",Requirements - AWS E7018-A1 H4R,"Typical Results(3) - As-Welded
   Stress-Relieved 1 hr @ 620°C (1150°F)","diameters-/-packaging
diameter-length",,,
100,,0.12,,,,,19.0,,0.6000000000000001,,0.525,,,,,0.03,,0.03,,,0.4,,,550.0,,460.0, E8018-B2 H4R,"aws-a5.5/a5.5m:-2006-e7010-a1
asme-sfa-a5.5:-e7010-a1
abs:-e7010-a1
cwb/csa-w48-06:-e4910-a1
tuv:-din-en-iso-2560-a:e
mil-e-22200/7:-mil-7010-a1
welding-positions
all",289,"(cid:23)(cid:3)for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration-and-superior-puddle-control
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)capable-of-480-mpa-(70-ksi)-tensile-strength-
weld-deposits",Requirements - AWS E8018-B2 H4R,"Typical Results(3) - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)","(cid:23)(cid:3)api-5l-x42-through-x56-grade-pipe-
(cid:23)(cid:3)cross-country-and-in-plant-pipe",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jetweld-JetweldLH-70(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jetweld-JetweldLH-70(LincolnElectric)
101,,,64.5,,,,21.5,,,,,,,,,,,,,,,,,710.0,,600.0, E9018-B3 H4R,,28,,Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric)
102,,,99.0,,,,25.0,,,,,,,,,,,,,,,,,662.5,,562.5, E8018-B2 H4R,,290,,Requirements - AWS E8018-B2 H4R,"Typical Results(3) - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,,,
103,,,20.0,,,,19.0,,,,,,,,,,,,,,,,,550.0,,460.0, E8018-C1 H4R,,292,,Requirements - AWS E8018-C1 H4R,"Typical Results(3) 
 Stress-Relieved 1 hr @ 610°C (1125°F)",,flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric)
104,,,104.0,0.30000000000000004,,,28.0,,1.0,,0.2,,,0.5,,0.03,,0.03,,,0.8,,,590.0,0.1,492.5, E8018-C1 H4R,"key-features
(cid:23)(cid:3)light-slag-for-mal-arc-interference-
(cid:23)(cid:3)deep-penetration-
(cid:23)(cid:3)clean,-visible-weld-puddle-
(cid:23)(cid:3)superior-puddle-control",293,"conformances
aws-a5.5/a5.5m:-2006-e9010-g
asme-sfa-a5.5:-e9010-g
welding-positions
all",Requirements - AWS E8018-C1 H4R,"Typical Results(3) 
 Stress-Relieved 1 hr @ 610°C (1125°F)",diameters-/-packaging,,,
105,,,27.0,,,,24.0,,,,,,,,,,,,,,,,,550.0,,510.0, E8018-C3 H4R,,295,,Requirements - AWS E8018-C3 H4R,Typical Results(3) - As-Welded,,flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric)
106,,,122.0,0.30000000000000004,0.2,4.0,28.0,,1.0,,0.2,,,,,0.03,,,0.265,,0.8,,,612.5,0.1,547.5, E8018-C3 H4R,"diameters-/-packaging
diameter-length
mm-(in)-in-(mm)
018-g-h4r-•-low-alloy,-low-hydrogen,-pipe",296,"typical-applications
(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x80-grade-pipe",Requirements - AWS E8018-C3 H4R,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e10018-g-h4r
asme-sfa-a5.5:-e10018-g-h4r
welding-positions
all,-except-vertical-down",,,
107,,0.05,122.0,0.05,0.02,2.5,28.0,,1.35,,0.28,,,,,0.015,,,0.54,,0.51,,,612.5,0.01,547.5, E8018-C3 H4R,"diameters-/-packaging
diameter-length-1
018-g-h4",296,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",Requirements - AWS E8018-C3 H4R,Typical Results(3) - As-Welded,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,,,
108,,,,,,,17.0,,,,,,,,,,,,,,,,,620.0,,530.0, E9018-B3 H4R,,298,,Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Millennium-MillenniumArc7018-1(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Millennium-MillenniumArc7018-1(LincolnElectric)
109,,0.2,64.5,0.30000000000000004,,,21.5,,1.2,,0.5,,,1.0,,0.03,,,,,0.6000000000000001,,,710.0,0.5,600.0, E9018-B3 H4R,diameters-/-packaging,299,"(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)superior-puddle-control",Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)","(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x65-grade-pipe
(cid:23)(cid:3)vertical-down-welding",,,
110,,,27.0,,,,24.0,,,,,,,,,,,,,,,,,620.0,,580.0, E9018M H4R,,301,,Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,,flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric)
111,,0.15,74.5,0.2,,,30.5,,1.21,1.5,0.30000000000000004,,,0.30000000000000004,,0.035,,0.035,,,0.9,,,662.5,0.08,580.0, E9018M H4R,"diameters-/-packaging
diameter-length
-1",302,"(cid:23)(cid:3)high-deposition-rates
(cid:23)(cid:3)smooth-bead-appearance
(cid:23)(cid:3)mal-spatter
(cid:23)(cid:3)shallow-penetration",Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,"(cid:23)(cid:3)large-welds
(cid:23)(cid:3)slightly-downhill-(15°-positions
(cid:23)(cid:3)multiple-pass-welding",,,
112,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,490.0,,400.0,"
 E7018-1 H4R",,3,,"Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded",,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR-N(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018MR-N(LincolnElectric)
113,,0.085,27.0,1.25,,4.0,24.0,,0.9,,0.525,,,,,0.03,,0.03,,,0.8,,,620.0,,580.0, E9018M H4R,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",30,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
114,0.005,0.075,27.0,6.0,0.005,,22.0,,0.7000000000000001,,0.15,,,,,0.012,,0.015,,,0.225,,0.01,430.0,,330.0, E6010,"aws-a5.5-e8018-b2-h4
%-bs-en-iso-3580-a-e-crmo1-b
bs-en-iso-3580-b-e-5516-1cm
bs-2493-1crmo-b-h
w-
din-8575-ecrmo-1-b-2-6
5-ppm)",306,"•-designed-for-prolonged-•-designed-for-welding-
elevated-temperatures-up-1.25%-chromium,-0.50%
to-550°c-(1022°f)-molybdenum-steels
•-refineries-where-corrosion-•-trace-elements-are-
resistance-to-sulphur-controlled-to-ensure-low
bearing-crude-oil-is-at-bruscato-(x-factor-15
250-450°c-(482-842°f)-and-wantanbe-
(j-factor-180-ppm)-fa
welding-positions----------
all",Requirements - AWS E6010,Typical Results(3) - As-Welded,"diameters-/-packaging
diameter-4.2-kg-(9.3-lb)-
easy-open-can",flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
115,,,56.0,,,,29.0,,,,,,,,,,,,,,,,,557.5,,460.0, E6010,,307,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,flux-cored-wires-gas-shielded,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
