,Item Brand,Item Name,Item Type,Special Category,"C(Min,Max)%",CVN Impact,CVN Temp C,"Cr(Min,Max)%",Elong %,Fillet Weld Test,Hydrogen Ml/100gm,"Mn(Min,Max)%",Mn+Cr+Ni+Mo+V,"Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%",Radiography,"S (Min,Max)%","Si (Min,Max)%",Test Condition1,Test Condition2 - EN,"UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",Test Cond as Per,CVN Impact - EN,CVN Temp C - EN,Special Prop.,"Fe(Min,Max)%","Nb(Min,Max)",Ti (Min Max%),UTS,CVN Avg.,"Al(Min, Max)%",PWHT,"Zr (Min, Max%)","N (Min,Max)%","Cb (Min,Max%)`",FG Batch,"Co(Min,Max)%","Nickel(Min,Max%)",Other Elements Total,"W(Min, Max) %",Physical Appearance,Elong % I,"Nb(Min,Max)%","PB(Min, Max)%",Hardness,Special Prop 1,Special Prop 2,Special Prop 3,W,Hardness ParmeterI,Special Prop 4,Special Prop 6,Special Prop 7,Special Prop 5,Special Prop 8,"Boron (Min,Max%)","NB+TA(Min,Max%)",Sn,Hardness Parmeter,BaCo3,"UTS(MPa)(Min,Max%)",YS MPa,Elong % - EN,PWHT - EN,"UTS(Kg/mm2)(Min,Max%-EN",YS(Kgf/mm2)-EN,"APP.DENSITY(MIN,MAX)",Cobalt,Flow Rate (Hall),Mesh Size(BS),As,Sb,Bend Test,"IR (Min,Max)%","Lead (Min,Max)",Ferrite (Fn),"TI(Min,Max%)"
122,    MAXFIL-15R,MAXFIL-15R-1.60 MM,U1 - Flux Cored Wires,  FLUX CORE WIRE,"        0.000,        0.100","27, 150",-30.0,"        0.000,        0.200","       22.000,       35.000",,,"        0.800,        1.750",,"        0.000,        0.300",,"        0.000,        0.500","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.300,        0.900",,,"      490.000,      670.000","        0.000,        0.080","      390.000,      550.000",,"        0.000,        0.350",AWS SFA 5.20 E71T-5C/M,,,,,,,,"27, 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,    MAXFIL-36B2,MAXFIL-36B2 1.60 MM,U1 - Flux Cored Wires,  FLUX CORE WIRE,"        0.050,        0.120",,,"        1.000,        1.500","       19.000,      100.000",,,"        0.000,        1.250",,"        0.400,        0.650",,,"        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,EN ISO 17632-B-T55ZT5-0CP-G,"      550.000,      690.000",,"      470.000,      600.000",,,AWS/SFA 5.29-E80T5-B2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,    Maxfil-38R,Maxfil-38R 1.2 MM,U1 - Flux Cored Wires,  FLUX CORE WIRE,"        0.000,        0.150",27  J Min,-30.0,"        0.000,        0.150","       19.000,       35.000",,,"        0.500,        1.750",,"        0.000,        0.350",,"        1.000,        2.000","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,EN ISO 17632-B-T572T1-1CA N3,"      550.000,      690.000","        0.000,        0.050","      470.000,      600.000",,,AWS/SFA:5.29 E91T1-K2C,,,,,,,,27 J Min,0.0-1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,    MAXFIL-81R(SPL),MAXFIL-81R(SPL)- 1.20 MM,U1 - Flux Cored Wires,  FLUX CORE WIRE,"        0.050,        0.120",,,"        1.000,        1.500","       19.000,       30.000",,,"        0.500,        1.250",,"        0.400,        0.650",,,"        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.200,        0.800",,,"      550.000,      690.000",,"      470.000,      550.000",,,AWS SFA 5.29 E81T-1 B2C,,,,,,,,,,620+-15C/1hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,    MAXFIL-81W,MAXFIL-81W 1.20 MM,U1 - Flux Cored Wires,  FLUX CORE WIRE,"        0.000,        0.120",27150,-30.0,"        0.450,        0.700","       19.000,       30.000",,,"        0.500,        1.300",,,,"        0.400,        0.800","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.350,        0.800",,EN ISO 17632-B-T553T1-1CA NCC1,"      550.000,      690.000",,"      470.000,     1000.000",,"        0.300,        0.750",AWS SFA 5.29 E81T1- W2C,,,,,,,,27 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,    F 70 S2,F 70 S2 1.60 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,EN ISO 636-A W 42 3 W2Ti,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,    F 70 S2,F 70 S2 2.00 X 1000 MM,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,EN ISO 636-A W 42 3 W2Ti,,"        0.000,        0.030",,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,    F 70 S2,F 70 S2 2.5 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,EN ISO 636-A W 42 3 W2Ti,,"        0.000,        0.030",,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,    F 70 S2,F 70 S2 3.15 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,EN ISO 636-A W 42 3 W2Ti,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,    F 70 S2(NACE),F 70 S2(NACE) 1.6 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,    F 70 S2(NACE),F 70 S2(NACE) 2.0 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,    F 70 S2(NACE),F 70 S2(NACE) 2.4 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,    F 70 S2(NACE),F 70 S2(NACE) 2.5 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,    F 70 S2(NACE),F 70 S2(NACE) 3.15 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.070",,,"        0.000,        0.150",,,,"        0.900,        1.400",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",Satisfactory,"        0.000,        0.035","        0.400,        0.700",,,,,,,"        0.000,        0.500",        AWS/SFA 5.18 ER70S-2,,,,,,"        0.050,        0.150",,,               0.05-0.15,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,    F 70 S6,F 70 S6 1.60 X 1000,U3 - Filler Wires,  FW,"        0.060,        0.150",,-30.0,"        0.000,        0.150",,,,"        1.400,        1.850",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",              SATISFACTORY,"        0.000,        0.035","        0.800,        1.150",,EN ISO 636-A W 42 3 W3Sil,,"        0.000,        0.030",,,"        0.000,        0.500",        AWS/SFA: 5.18 ER70S-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,    F 70 S6,F 70 S6 2.00 X 1000,U3 - Filler Wires,  FW,"        0.060,        0.150",,-30.0,"        0.000,        0.150",,,,"        1.400,        1.850",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",              SATISFACTORY,"        0.000,        0.035","        0.800,        1.150",,,,"        0.000,        0.030",,,"        0.000,        0.500",        AWS/SFA: 5.18 ER70S-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,    F 70 S6,F 70 S6 2.40 X 1000,U3 - Filler Wires,  FW,"        0.060,        0.150",,-30.0,"        0.000,        0.150",,,,"        1.400,        1.850",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",              SATISFACTORY,"        0.000,        0.035","        0.800,        1.150",,,,"        0.000,        0.030",,,"        0.000,        0.500",        AWS/SFA: 5.18 ER70S-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,    F 70 S6,F 70 S6 2.50 X 1000,U3 - Filler Wires,  FW,"        0.060,        0.150",,-30.0,"        0.000,        0.150",,,,"        1.400,        1.850",,"        0.000,        0.150",,"        0.000,        0.150","        0.000,        0.025",              SATISFACTORY,"        0.000,        0.035","        0.800,        1.150",,,,"        0.000,        0.030",,,"        0.000,        0.500",        AWS/SFA: 5.18 ER70S-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,    F 80 S D2,F 80 S D2 2.40 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,-30.0,,"       17.000,        0.000",,,"        1.600,        2.100",,"        0.400,        0.600",,"        0.000,        0.150","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.500,        0.800",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.500",AWS-SFA: 5.28 ER80SD-2,,,,,,,,,,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,    F 80 S D2,F 80 S D2 2.50 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,-30.0,,"       17.000,        0.000",,,"        1.600,        2.100",,"        0.400,        0.600",,"        0.000,        0.150","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.500,        0.800",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.500",AWS-SFA: 5.28 ER80SD-2,,,,,,,,,,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,    F 80 S NI 1,F 80 S Ni 1 2.00 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.120",,,"        0.000,        0.150","       24.000,        0.000",,,"        0.000,        1.250",,"        0.000,        0.350",,"        0.000,        0.150","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.800",,,"      550.000,        0.000","        0.000,        0.050","      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.18 ER 80S-Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,    F 80 S NI 1,F 80 S Ni 1 2.4 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.120",,,"        0.000,        0.150","       24.000,        0.000",,,"        0.000,        1.250",,"        0.000,        0.350",,"        0.000,        0.150","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.800",,,"      550.000,        0.000","        0.000,        0.050","      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,    F 90S D2,F 90S D2 2.40 X 1000 MM,U3 - Filler Wires,  FW,"        0.070,        0.120",,-30.0,,"       17.000,        0.000",,,"        1.600,        2.100",,"        0.400,        0.600",,"        0.000,        0.150","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.500,        0.800",,,"      620.000,        0.000",,"      540.000,        0.000",,"        0.000,        0.500",AWS-SFA: 5.28 ER90SD-2,,,,,,,,,,,"        0.020,        0.120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,    FC-MO,F-C-MO 1.6 MM X 1000,Non Moving Finished Goods,  FW,"        0.000,        0.120",,,,"       19.000,        0.000",,,"        0.000,        1.300",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.300,        0.700",,,"      515.000,        0.000",,"      400.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,    FC-MO,F-C-MO 2 MM X 1000,U3 - Filler Wires,  FW,"        0.000,        0.120",,,,"       19.000,        0.000",,,"        0.000,        1.300",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.300,        0.700",,,"      515.000,        0.000",,"      400.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,    FC-MO,F-C-MO 2.4 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.120",,,,"       19.000,        0.000",,,"        0.000,        1.300",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.300,        0.700",,,"      515.000,        0.000",,"      400.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,    FC-MO,F-C-MO 2.5 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.120",,,,"       19.000,        0.000",,,"        0.000,        1.300",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.300,        0.700",,,"      515.000,        0.000",,"      400.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,    F-CR-MO-1,F-CR-MO-1 1.6 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,    F-CR-MO-1,F-CR-MO-1 2.00 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,    F-CR-MO-1,F-CR-MO-1 2.4 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,    F-CR-MO-1,F-CR-MO-1 2.50 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,    F-CR-MO-1,F-CR-MO-1 3.15 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,    F-CR-MO-1(MOD),F-CR-MO-1(MOD) 1.6 X 1000MM,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,    F-CR-MO-1(MOD),F-CR-MO-1(MOD) 2 X 1000MM,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,    F-CR-MO-1(MOD),F-CR-MO-1(MOD) 2.50 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,    F-CR-MO-1L,F-CR-MO-1L 1.6 X 1000,Non Moving Finished Goods,  FW,"        0.000,        0.050",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      515.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-B2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,    F-CR-MO-1L,F-CR-MO-1L 2.00 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.050",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      515.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-B2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,    F-CR-MO-1L,F-CR-MO-1L 2.40 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.050",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      515.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-B2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,    F-CR-MO-1L,F-CR-MO-1L 2.50 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.050",,,"        1.200,        1.500","       19.000,        0.000",,,"        0.400,        0.700",,"        0.400,        0.650",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      515.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 70S-B2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,    F-CR-MO-2,F-CR-MO-2 1.60 X 1000 MM,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        2.300,        2.700","       17.000,        0.000",,,"        0.400,        0.700",,"        0.900,        1.200",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      620.000,        0.000",,"      540.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 90S-B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,    F-CR-MO-2,F-CR-MO-2 2.00 X 1000MM,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        2.300,        2.700","       17.000,        0.000",,,"        0.400,        0.700",,"        0.900,        1.200",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      620.000,        0.000",,"      540.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 90S-B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,    F-CR-MO-2,F-CR-MO-2 2.40 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        2.300,        2.700","       17.000,        0.000",,,"        0.400,        0.700",,"        0.900,        1.200",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      620.000,        0.000",,"      540.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 90S-B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,    F-CR-MO-2,F-CR-MO-2 2.5 X 1000,U3 - Filler Wires,  FW,"        0.070,        0.120",,,"        2.300,        2.700","       17.000,        0.000",,,"        0.400,        0.700",,"        0.900,        1.200",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      620.000,        0.000",,"      540.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 90S-B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,    F-CR-MO-2L,F-CR-MO-2L 2.40 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.050",,,"        2.300,        2.700","       17.000,        0.000",,,"        0.400,        0.700",,"        0.900,        1.200",,"        0.000,        0.200","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.400,        0.700",,,"      550.000,        0.000",,"      470.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,    F-CR-MO-5,F-CR-MO-5 1.6 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.100",,,"        4.500,        6.000","       17.000,        0.000",,,"        0.400,        0.700",,"        0.450,        0.650",,"        0.000,        0.600","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.000,        0.500",,,"      470.000,        0.000",,"      570.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,    F-CR-MO-5,F-CR-MO-5 2 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.100",,,"        4.500,        6.000","       17.000,        0.000",,,"        0.400,        0.700",,"        0.450,        0.650",,"        0.000,        0.600","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.000,        0.500",,,"      470.000,        0.000",,"      570.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,    F-CR-MO-5,F-CR-MO-5 2.4 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.100",,,"        4.500,        6.000","       17.000,        0.000",,,"        0.400,        0.700",,"        0.450,        0.650",,"        0.000,        0.600","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.000,        0.500",,,"      470.000,        0.000",,"      570.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,    F-CR-MO-5,F-CR-MO-5 2.50 X 1000,U3 - Filler Wires,  FW,"        0.000,        0.100",,,"        4.500,        6.000","       17.000,        0.000",,,"        0.400,        0.700",,"        0.450,        0.650",,"        0.000,        0.600","        0.000,        0.025",                 Satisfactory,"        0.000,        0.025","        0.000,        0.500",,,"      470.000,        0.000",,"      570.000,        0.000",,"        0.000,        0.350",AWS-SFA: 5.28 ER 80S-B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
