,A5,AWS,Applications,Category,DIN,DIN_W,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Name,Others,Properties,Redrying_Temp,Rm,Rp0,Suitable_For,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
75,35.0,A 5.4: E 316L-17,The electrode is suitable for welding corrosion-resistant Cr-Ni-Mo steels with extremely low C-content at working temperatures up to 350° C.,3.0,8556: E19 12 3 LR 13,1.443,,AW,70.0,,,3581-A: E 19 12 3 L R 11,4430 Ti Fall,,The weld deposit is scale-resistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish. 4430Ti Fall is designed to weld in vertical down position (PG) and offers a fast freezing slag that makes it also very wel suited for vertical up (PF) position.,300?2hr,500.0,320.0,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,1.25,,0.6,0.03,19.0,2.75,12.0,,,,,64.37,,,,,,,,,,,,,,
76,25.0,A 5.4: E 317L-17,"For welding stabilized and un-stabilized CrNiMo(N) type of steels with high corrosion resistance. Also suitable for dissimilar welds between steel and stainless steel or dissimilar stainless steels. Mainly used in chemical, paper and cotton industry",3.0,8556: E9-UM-300-CKR,1.444,,AW,55.0,,,3581-A: E 18 16 5 N L R 12,4440 AC,,"High mechanical properties and excellent weldabillity, corrosion resistance is better than AISI 316 due to the high Mo. content. Suitable for use up to 400°C. The weld deposit is non magnetic.",350ºC/1hr,580.0,400.0,"Designed for joining corrosionresistant CrNiMoN steel as well as for austenitic-ferritic joints.
W.Nrs:1.3941, 1.3952, 1.3953, 1.3955, 1.3958, 1.4406, 1.4429, 1.4435, 1.4438, 1.4439, 1.446, 1.448, 1.449",,3.5,,0.8,0.03,18.0,4.5,17.5,,,,0.12,55.55,,,,,,,,,,,,,,
77,35.0,A 5.4: ,"The electrode is suitable for welding corrosion-resistant Cr-Ni-Mo steels, austenitic steels, non-magnetic, cast steels and cold tough steels.",3.0,8556: E 18 15 3 LR 23,1.4455,,AW,,,45.0,3581-A: EZ 20 16 3 Mn 3 LR 32,4455 Ti,,Extreme stable arc on both AC and DC+ with no spatter losses. The slag is self lifting and leaves a fine rippled shiny surface.,300?2hr,640.0,440.0," 

 ",,3.25,,0.9,0.03,19.0,2.8,15.25,,,,,58.77,,,,,,,,,,,,,,
78,23.0,A 5.4: E 2593-26,"Welding wrought, forged or cast super duplex stainless steels for service in the
as-welded condition. Heterogeneous welding between super duplex stainless
steels and dissimilar welds between other stainless and mild or low alloyed steels",3.0,,1.4501,,AW,50.0,,,3581-A: E 25 9 3 N LR 32,4460 Cu,,Higher corrosion resistance then standard Duplex steels with also higher mechanical properties due to the addition of Nitrogen.,300?2hr,730.0,550.0,"Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. Examples: UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260., It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",0.65,1.1,,0.8,0.02,25.0,3.0,9.0,,,,0.16499999999999998,59.665000000000006,,,0.6,,,,,,,,,,,
79,25.0,A 5.4: E 2209-17,Used for pipe work and general fabrication in the offshore oil and gas and chemical process industries. Also suitable for cladding steels to obtain corrosion resistant layers..,3.0,8556:  E 22 9 3 L R 23,1.4462,,AW,50.0,,,3581-A: E 22 9 3 N L R 12,4462 Ti,,"A Rutile basic electrode for welding austenitic-ferritic stainless alloys of the 22% Cr, 5% Ni, 3% Mo types. 2209 has high general corrosion resistance. In media containing chloride and hydrogen sulphide, the alloy has a high resistance to intergranular corrosion, pitting and especially to stress corrosion. The alloy is used in a variety of applications across all industrial segments.
 ",300?2hr,690.0,480.0,"Duplex stainless steels, 1.4462, 1.4417, 1.4582, 1.4463, 1.4460, 1.4362, 1.4583, P235GH, P265GH, S255N, P295GH, S355NUNS S31803 : UR 45N & UR 45N+, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304",,1.1,,0.35,0.03,22.0,3.05,9.5,,,,0.15,,,,,,,,,,,,,,,
80,25.0,A 5.4: E 2595-15,"Welding wrought, forged or cast super duplex stainless steels for service in the as-welded condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels.",3.0,,1.4501,,AW,,,50.0,3581-A: E 25 9 4 N L N 2 2,4501 Kb,,"Ceweld 4501 Kb is a basic coated electrode with a fully alloyed core, the duplex weld deposit provides exellent resistant to pitting, chloride stress corrosion cracking and intercrystalline corrosion due to the high CrMo(N) content (Pitting index >40). Furthermore, the weld metal alloy is saltwater-proof and offers high tensile strength, as a result of nitrogen being added to the alloy. ",250?2hr,750.0,600.0,"UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260., It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",0.7,1.2,,0.5,0.04,25.0,3.8,9.0,,,,0.2,58.76,,,0.8,,,,,,,,,,,
81,33.5,A 5.4: E 385-16,Designed for joining exceptional corrosion resistant CrNiMoCu- steels at temperatures from -196° C to 350° C.,3.0,8556: E 20 25 5CuLR23,1.4539,,AW,40.0,,,3581-A: E 20 25 5 Cu N L R 53,4539 Ti,,The weld deposit offers excellent corrosion resistance especially against Phosphor acid. The weld deposit is capable of taking a high polish,300?2hr,600.0,405.0,"W.Nrs: 1.4500, 1.4505, 1.4506, 1.4519, 1.4531, 1.4536, 1.4539, 1.4573, 1.4585, 1.4586, 4 NS N 08904
904L",1.5,1.5,,0.5,0.03,20.0,4.5,25.0,,,,,46.97,,,,,,,,,,,,,,
82,35.0,A 5.4: E 347–17,The electrode is suitable for welding austenitic corrosion-resistant stabilized Cr-Ni steels for working temperatures up to 400° C,3.0,8556: E 19 9 Nb R23,1.4551,,AW,50.0,,32.0,3581-A: E 19 9 Nb R 12,4551 Ti,,The weld deposit is scale-resistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish,300?2hr,540.0,380.0," 


1.43061.43011.45411.45501.45521.43121.45461.4311

X2CrNi 19 11X4CrNi 18 10X6CrNiTi 18 10X6CrNiNb 18 10G-X5CrNiNb 19 10G-X10CrNi 18 8X5CrNiNb 18 10X2CrNiN 18 10

(TP) 304L(TP) 304(TP) 321(TP) 347CF-8C, 302(TP) 302-


.⇒1.4303, 1.4308, 1.4310, 1.4312, 1.4319",,0.8,,0.8,0.03,19.0,,10.0,,,,,,10.0,,,,,,,,,,,,,
83,30.0,A 5.4: E 318-16,Developed for welding stabilized CrNi(N) and CrNiMo(N) types and cast steels (316Ti),3.0,8556: E 19 12 Nb R 23,1.4576,,AW,70.0,,32.0,3581-A E 19 12 3 Nb R 12,4576 Ti,,"Excellent corrosion resistance as needed in chemical industry up to 400°C and exceptional weldability with no spatter and self lifting slag.
 ",300?2hr,600.0,440.0,"

1.45811.44371.44011.45711.45801.45831.4436
G-X5CrNiMoNb 19 11 2G-X6CrNiMo 18 12X4CrNiMo 17 12 2X6CrNiMoTi 17 12 2X6CrNiMoNb 17 12 2X10-CrNiMoNb 18 12X3CrNiMo 17 13 3

--(TP)316316Ti316Cb318-



.⇒1.4301, 1.4541, 1.4550, 1.4404, 1.4435, 1.4473",,0.8,,0.8,0.03,19.0,2.75,12.0,,,,,,10.0,,,,,,,,,,,,,
84,20.0,A 5.4: ~E 2504-17,Cap layers for joining refractory Cr-Al-Si steels. Cladding corrosion resistant overlays. Cladding heat resistant overlays up to 1150ºC. Cladding components in a sulphurous environment..,3.0,8556: E 25 4 MP R 23,1.482,180,AW,,,,3581-A: E 25 5 R 32,4820 AC,,"Ceweld 4820 AC is an AC-weldable fully core-wire alloyed electrode for fabrication and repair welding on equal or similar, corrosion and heat-resistant steels and steel-castings. The weld-deposit is on equal base-material scale-resistant and, by reason of its low nickel-content, resistant against attack of sulphurous gases at higher temperatures up to 1150°C. When welding Ceweld 4820 AC low heat-input is required as alloys of such chemistry are sensitive to embrittlement at 600-800°C. The interpas temperature should not exceed 300°C.",1hr/350°C+/-10°C,700.0,500.0," 


W.Nr:1.47101.47451.47121.47621.47131.47731.47221.4776

EN ASTM/ACIG-X30CrSi6G-X40CrSi23 TP433X10CrSi6 502X10CrAl24 TP443X10CrAl7 502X8Cr30X10CrSi13G-X40CrSi29

W.Nr:1.47241.48201.47291.48211.47401.48221.47421.4823

EN ASTM/ACIX10CrAl13 TP405-CA15G-X12 CrSi 26 5G-X40CrSi13X20 CrNiSi 25 4 TP329G-X40CrSi17G-X40CrNi 25 4 TP329X10CrAl18 430B-TP430G-X40CrNiSi 27 4 TP329HC



 ",,0.7,,1.0,0.06,25.0,,4.7,,,,,,,,,,,,,,,,,,,
85,25.0,A 5.4: E 309MoL,Joining heat resistant CrNi-steels of the same kind and also joining dissimilar alloys such as steel to stainless steel. Cladding on low alloyed steels in case a 18/8/2 CrNiMo layer is required in the first layer.,3.0,8556:  E 23 12 LR 23,1.4829,,AW,47.0,32.0,,3581-A: E 22 12 R 3 2,4829 MoTi,,High corrosion resistance and excellent weldability on both AC and DC+. ,300?2hr,630.0,480.0,"disimilar welding of steel to stainless steels, heat resisting steels, W.Nrs: 1.4401, 1.4404, 1.4406, 1.4410, 1.4437, 1.4571, 1.4580 ",,0.8,,0.7,3.0,23.0,3.0,12.0,,,,,,,,,,,,,,,,,,,
86,10.0,A 5.4:,Joining and cladding of fully austenitic heat resistant CrNi-steels of the same kind and similar Cast steels.,3.0,8555: ,1.483,,AW,,,,3581-A: EZ 25 24 Nb B 32,4830 Kb,,"High corrosion resistance and excellent weldability on both AC and DC+. The weld deposit is scale resistant up to 1000ºC
 ",320?2hr,600.0,400.0,"W.Nr: 1.4855, 1.4845",,,,,0.25,25.0,,24.0,,,,,49.7,1.05,,,,,,,,,,,,,
87,29.0,A 5.4: E 310-15,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers..",3.0,8556: E 25 20 R 26,1.4842,200,AW,70.0,,32.0,3581-A: E 25 20 B 22,4842 Kb,,"For welding heat-resistant austenitic steels of the 25% Cr, 20% Ni types. 4842 Kb has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In general the alloy is heat resistant up to 1200°C. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",320?2hr,600.0,410.0,"1.4823, 1.4826, 1.4828, 1.4832, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849 heat resistant stainless steel, AISI 305, 310, 314, ASTM A297 HF, A297 HJ",,2.75,,0.6,0.1,24.5,,20.0,,,,,52.05,,,,,,,,,,,,,,
88,29.0,A 5.4: E 310-16,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers..",3.0,8556: E 25 20 R 26,1.4842,200,AW,70.0,,,3581-A: E 25 20 R 12,4842 Ti,,"For welding heat-resistant austenitic steels of the 25% Cr, 20% Ni types. 4842 Ti has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In general the alloy is heat resistant up to 1200°C. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",300?2hr,600.0,410.0,"1.4823, 1.4826, 1.4828, 1.4832, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849 heat resistant stainless steel,",,2.9,,0.5,0.1,25.0,,20.0,,,,,,,,,,,,,,,,,,,
89,25.0,A 5.4:,Joining and cladding high heat resistant CrNi-steels of the same kind and Cast steels in a low sulphourus invironment,3.0,8555:,1.485,,AW,50.0,,,14700: E Ni1,4850 Kb ,,High corrosion resistance and excellent weldability on both AC and DC+. The weld deposit is scale resistant up to 1050ºC,300?2hr,600.0,380.0,"


W.Nr:1.48761.48611.48591.49581.4959

DIN:G-X10NiCrNb 32 20X10NiCrAlTi 32 20X5NiCrAlTi 31 20X8NiCrAlTi 31 21-
UNS:N 08800N 08810N 08811-Alloy 800H


 ",,4.5,,0.3,0.15,22.0,,33.5,,,,,38.5,1.05,,,,,,,,,,,,,
90,8.0,A 5.4:,Joining and cladding high heat resistant CrNi-steels of the same kind and Cast steels in a low sulphourus invironment.,3.0,8555: E 9-UM-200 RZ,1.4853,,AW,,,,14700: ~E Ni1,4853 Kb,,"High corrosion resistance and excellent weldability on both AC and DC+. The weld deposit is scale resistant up to 1050ºC
 ",300?2hr,690.0,460.0,"1.4852, 1.4853  G-X 40 NiCrNb 35 25, 1.4857, G-X 40 NiCrSi 35 25, 1.4837, G-X40CrNiSi25-12, 1.4848, G-X40CrNiSi25--20, 1.4849, G-X40NiCr38-18, G-X40NiCrNb35-25, cast steels, HK40, HK45, UNS: J93503, J94204, N08705",,1.0,,0.9,0.4,26.0,,35.0,,,,,,1.35,,,,,,,,,,,,,
91,27.0,A 5.4:,Joining and cladding high heat resistant CrNi-steels of the same kind such as heat treatment equipment and chemical installations.,3.0,8555:,1.4893,,AW,,,,1600: E 22 12 R 32,4893 Kb (253MA),,"High corrosion resistance and excellent weldability on both AC and DC+. The weld deposit is scale and oxidation resistant up to 950ºC. Interpass temperature should be kept below 150ºC.
 ",250?2hr,590.0,360.0,"1.4828, 1.4829, 1.4893, 1.4835, UNS S30815, (Avesta) alloy 253MA, X15CrNiSi 20-23, X12 CrNi 22-12, X8CrNiSiN21-11, X9CrNiSiNCe21-11-2",,0.95045,,1.0,0.1,22.0,0.1,11.0,,,,0.1,64.74955,,,,,,,,,,,,,,
92,22.0,A 5.1: E 6010,"Pipeline root welding, shipbuilding and repair, sheet piling",3.0,8575: E 43 54 C4,,,AW,,47.0,,2560-A: E 38 3  C 11,6010,,6010 is a cellulose coated all positional pipe welding electrode designed especially for vertical down root pass welding on D.C. negative polarity and for subsequent passes on D.C. positive polarity. Apart from its excellent welding and gap bridging characteristics 6010 offers a weld deposit with outstanding impact strength values and thus offers the benefit of more safety in field welding of pipelines.,,505.0,380.0,"St:37.2, 44.2, 37.3, 52.3, St 37.0, 52.0, 37.4, 52.4, 35.8, 45.8 H1, H11, StE 210.7, 360.7 X42, X60, A-D
 ",,0.6,,0.2,0.12,,,,,,,,,,,,,,,,,,,,,,
93,22.0,A 5.1: E 6013,This electrode is specially developed for maintenance and repair in shipbuilding and ship repair as also for similar jobs and or bad prepared seams in other constructions.,3.0,1913:E 43 22 R(C)3,,,AW,47.0,,,2560-A: E 38 0 RC 11,6013 Fall,,The weld puddle is amazingly fast freezing and therefore especially preferred in vertical down position with high speed and deep penetration. Due to the wood powder based coating the weld puddle is super fast freezing and therefore amazing results can be achieved on old and dirty or otherwise diluted plates.,120ºC/1hr,535.0,360.0," 


Steel type:Unalloyed steels:Boiler plates:Pipe steels:-Shipbilding plates:Steel castings:Thin sheets:

DIN:St 33 to St 52.3HI, HII, 17 Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, DGS-38 to GS-521623/1


W.Nr.:1.0035 to 1.05701.0345, 1.0425, 1.04811.0308 to 1.05811.0307 to 1.05821.0440, 1.0472, 1.04751.0416 to 1.0551-



 ",,0.6,,0.4,0.08,,,,,,,,,,,,,,,,,,,,,,
94,24.0,A 5.1: E 6013,"Shipbuilding, construction, buildings, pipe welding",3.0,1913: E 43 43 RR (B) 7,,,AW,47.0,,,2560-A: E 35 2 RB 12,6013 Root,,Thick basic-rutile coated electrode for welding low alloyed steels with tensile strength up to 510 N/mm2. Recommended for root welding in pipelines due to excellent welding properties. The weld metal deposit has high mechanical properties and can be used for a wide range of materials.,140?1hr,535.0,380.0,"

Steel typesUnalloyed steelsBoiler platesPipe steels-Shipbilding platesSteel castingsFinegrained steels-
DIN:St 33 to St 52.3HI, HIII, 17Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, D, EGS-38 to GS-52StE 255 to StE 355-
W.Nrs.1.0035 to 1.05701.0345, 1.0435, 1.0481,1.0308 to 1.05811.0307 to 1.05821.0440 to1.04761.0416 to 1.05511.0461 to 1.0562-


 ",,0.5,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,
95,22.0,A 5.1: E 6012,"Shipbuilding, general construction, vessels, wagons, repair welding, pipe welding",3.0,1913: E 51 22RC3,,,AW,60.0,,,2560-A: E 38 0 RC 11,6013 S,,"6013S is a medium thick coated electrode for all kinds of steel structures and is particularly suited for welding jobs at poorly accessible points and badly prepared seams. The 6013S can be sued in all positions, in particular it is ideally suited for vertical down welds upto 3,2 mm. Viscous weld metal, hence good gap bridging. Easy slag removal and the electrodes can be bent very well to improve accessibility to hard to reach places.",120?1hr,500.0,360.0," 


Steel type:Unalloyed steels:Boiler plates:Pipe steels:-Shipbilding plates:Steel castings:Thin sheets:

DIN:St 33 to St 52.3HI, HII, 17 Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, DGS-38 to GS-521623/1


W.Nr.:1.0035 to 1.05701.0345, 1.0425, 1.04811.0308 to 1.05811.0307 to 1.05821.0440, 1.0472, 1.04751.0416 to 1.0551-



 ",,0.5,,0.3,0.08,,,,,,,,,,,,,,,,,,,,,,
96,22.0,A 5.1: E 6013,"Yacht building, wagon building, train, ship building, vessel, general constructions ",3.0,1913: E 51 22 RR 6,,,AW,47.0,,,2560-A: E 42 0 RR 12,6013 T,,"6013 T is a thick coated electrode for joining and surfacing steel structures of all kinds in mechanical engineering, body and wagon building, in the fabrication of vessels and containers, and in shipbuilding. The 6013 T is eminently weldable and possesses excellent welding properties in all positions except vertically down. Easy strike, no spatter losses. Very easy slag removal. Smooth, finely rippled seam surface and low fume.",140?2hr,560.0,360.0,"

DIN:Unalloyed steels:Boiler plates:Pipe steels:-Shipbilding plates:Steel castings:Thin sheets:

-St 33 to St 52.3HI, HII, 17 Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, DGS-38 to GS-521623/1


W.Nr.:1.0035 to 1.05701.0345, 1.0425, 1.04811.0308 to 1.05811.0307 to 1.05821.0440, 1.0472, 1.04751.0416 to 1.0551



 ",,0.6,,0.45,0.08,,,,,,,,,,,,,,,,,,,,,,
97,24.0,A 5.1: E 6018-1 H4R,"Pipe work, shipbuilding, bufferlayers, vessel construction, difficult metallurchical joints, mechanical engineering.",3.0,,,,AW,200.0,,,2560-A: E 35 4 B 32 H5 ,6018 LC,,"Extremely crack resistant weld metal conditioned by the high basic slag. Low spatter loss, easy slag removal. Well suited for joining high carbon steels and when welding critical mixed base metal combinations. Ideal metallurgical choice for repair welding and production as well as for use as a buffer layer. Developed for repair welding of pipes using half shells or T split joints. Extreme low hydrogen content HD <3ml/100gr.",400?1hr,505.0,400.0,"

Materials
EN
ASTM


shipbuilding steels
A, B, D, AH 32 - EH 36
typical


unaloyed structural steels
S185 - S355
A285


boiler steels
P235GH-P355GH
A515


pipe steels
P235T1/T2
A516


fine grain structural steels
S255 - S355QL1
 


steels to API-standard
X 42 - X52


 ",,0.42,,0.27,0.03,,,,0.015,0.012,,,,,,,,,,,,,,,,,
98,22.0,A 5.5: E 7010-A1,"7010 A 1 is our cellulosic electrode for the vertical down welding of hot and filler passes as well as for capping of higher strength pipe steels particularly for API grades X56X60 or DIN grades StE 360.7 TM/StE 385.7 TM. In general the electrode is suited for root passes, however, in most cases even on higher strength pipes our 6010 is preferred. ",3.0,8575: ,,,AW,47.0,,,2560-A: E 42 3 MoC 21,7010,,"Besides the excellent weld metal toughness properties it offers easy operation, and a concentrated intensive arc with deep penetration characteristics in order to ensure sound joint welds with good X-ray quality..",,550.0,420.0,"St:37.2, 44.2, 37.3, 52.3, H1, H11, 210.7, 290.7, 415.7 TM, 52.0, 37.4, 52.4, 35.8, 45.8, X42, X60, A-E StE",,0.4,,0.15,0.1,,0.5,,,,,,,,,,,,,,,,,,,,
99,22.0,A 5.1: E 7016,"Repair welding, root runs, vessel, shipbuilding, construction buildings, fences, bridges",3.0,1913: E 51 43 B R 10,,,AW,,47.0,,2560-A: E 42 4 B 12 H10,7016,,Double-coated semi basic CTOD tested electrode with excellent welding properties in difficult positions and high mechanical properties. It is particularly suited for poor welding machines with low open voltage on AC and DC+. Excellently suited for old and rusty material because of its stable and intensive arc. Well suited for root runs and in the maintenance and repair sector due to its absolute insensitiveness for rust or diluted base metals.Hydrogen content: <10ml/100gr weld metal.,380?1hr,575.0,420.0,"

Base metal
DIN
EN
ASTM


ShipbuildingUn alloyed steelBoiler steels-Pipe steels-Fine grain steelsAPI steels
A, B, D, AH 32 till EH 36St 33, St 37-2, St 52-3HI, HII, 17Mn4-St 35.8, St 45.8StE 210.7TM - StE 380.7TMStE 255 till StE 355X42
-P235GH, P265GH,P295GH-P235T1/T2 - P355NL210 - L380S255, S355, S420X42
A 131 / A 106A 515 / A 715A 283 / A 285A 414 / A 662A 372 / A 369A 210 / A 516A 255 / A 333A 350 / A 612


-W.Nrs:1.0035 to 1.0570, 1.0461 to 1.0562, 1.462 to 1.0565, 1.0345, 1.0425, 1.0481, 1.0308 to 1.0581, 1.0307 to 1.0582, 1.0440, 1.0472, 1.0475, 1.0476, 1.0416 to 1.0551",,1.0,,0.65,0.05,,,,,,,,,,,,,,,,,,,,,,
100,22.0,A 5.5: E 7018-A1,Mo alloyed basic electrode for welding heat and creep-resistant steels with yield strength up to 460 N/mm2. ,3.0,1913: E Mo B2,,,AW,,47.0,,3580-A: E Mo B 42 H5,7018 A1,,Excellent welding characteristics and easy slag removal with remarkable out of position weldabillity. Suited for working temperatures of -40°C to 525°C. Mostly used for the construction of boilers and pipes (15Mo3).Hydrogen content (HD < 5 ml/100 g). ,400?1hr,580.0,460.0,"17Mn4, 19Mn5, 15Mo3, 16Mo3, P235GH, P265GH, P295GH, P310GH, A 204 Gr. A-C, St 35.8, St 45.8, StE 480.7 TM, L485, StE460, S460, X65, X70, 1.5415, 1.0481, 1.0482",,0.8,,0.5,0.1,,0.5,,,,,,,,,,,,,,,,,,,,
101,24.0,A 5.1: E 7018-1 H4R,"High strenght steel constructions, offshore platforms, pipe welding, shipbuilding, vessel, rigs, drilling, repair welding etc.",3.0,1913: E 51 55 B10,,,AW,,47.0,,2560-A: E 42 4 B 32 H5 ,7018-1,,The 7018-1 is a low-hydrogen electrode suitable for highly stressed joints with very easy weldability and extreme high mechanical properties for steel and steel castings up to 610 N/mm2 tensile strength and fine-grained steels with increased yield strength. It is particularly suited for welding on AC and DC+. The 7018-1 is suitable for steel with up to 0.6% carbon and has extreme low hydrogen content. HD < 3 ml/100gr. 7018-1 full fills the US Military specifications (M designation) according AWS against moisture pick up.  ,400?1hr,560.0,440.0,"

Base metal
DIN
EN
ASTM


ShipbuildingUn alloyed steelBoiler steelsSteel castingsPipe steels-Fine grain steelsAPI steels
A, B, D, E, AH 32 till EH 36St 33, to St 52-3 to St 60.2HI, HII, 17Mn4, 19Mn5GS-38 to GS-52St 35.8, St 45.8, St 52.4StE 210.7TM - StE 380.7TMStE 255 till StE 355X42
-P235GH, P265GH,P295GH-P235T1/T2 - P355NL210 - L380S255, S355, S420X42
A 131 / A 106A 515 / A 715A 283 / A 285A 414 / A 662A 372 / A 369A 210 / A 516A 255 / A 333A 350 / A 612


W.Nrs: 1.0035 to 1.0060, 1.0461 to 1.0562, 1.0462 to 1.0565, 1.0345, 1.0425, 1.0481, 1.0482, 1.0308 to 1.0581, 1.0307 to 1.0582, 1.0440, 1.0472, 1.0475, 1.0476, to 1.1830, 1.0416 to 1.0551",,1.0,,0.6,0.08,,,,0.015,0.015,,,,,,,,,,,,,,,,,
102,22.0,A 5.1: E 7024,"Wagon building, shipbuilding, general construction, vessel, containers",3.0,1913: E 43 32 RR11 150,,,AW,47.0,,,2560-A: E 38 0 RR 53,7024 (150),,"The 7024 is a high performance electrode with a thick rutile coating and a recovery of 150%. For joining and surfacing in mechanical engineering, body and wagon building as well as in the fabrication of vessels and containers and in shipbuilding. Moreover this electrode can be used for all kinds of steel constructions. The 7024 has a high current carrying capacity and good striking properties. This electrode is very economical thanks to low spattering losses and easy slag removal.",250?1hr,505.0,3.0,"

Steel types:Unalloyed steelsBoiler steelsFinegrained steelsShipbuilding platesSteel castings-
DIN:St 33 to St 52.3 HI, HII,17Mn4StE 255 to StE 355A, B, DGS-38 to GS-52-
W.Nr:1.0035, to 1.05701.0345, 1.04251.0481, 1.0475 1.0461 to 1.05621.0440, 1.04721.0416 to 1.0551 


 ",,0.55,,0.25,0.08,,,,,,,,,,,,,,,,,,,,,,
103,22.0,A 5.1: E 7024,"Wagon building, shipbuilding, general construction, vessel, containers.",3.0,1913: E 51 22 RR 11 200,,,AW,47.0,,,2560-A: E 42 0 RR 74,7024 (200),,"The 7024-200 is a high performance electrode with a thick rutile coating and a recovery of 200%. For joining and surfacing in mechanical engineering, body and wagon building as well as in the fabrication of vessels and containers and in shipbuilding. Moreover this electrode can be used for all kinds of steel constructions. The 7024-200 has a high current carrying capacity and good striking properties. This electrode is very economical thanks to low spattering losses and easy slag removal.",250?1hr,520.0,430.0,"

Steel types:Unalloyed steelsBoiler steelsFinegrained steelsShipbuilding platesSteel castings-
DIN:St 33 to St 52.3 HI, HII,17Mn4StE 255 to StE 355A, B, DGS-38 to GS-52-
W.Nr:1.0035, to 1.05701.0345, 1.04251.0481, 1.0475 1.0461 to 1.05621.0440, 1.04721.0416 to 1.0551

",,0.75,,0.3,0.08,,,,,,,,,,,,,,,,,,,,,,
