,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,Ni,P,P S,S,S Ni,Si,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,extr,Fe,W,Co,A5,AWS,Ag,Al,Applications,B,Be,Category,DIN,DIN_W,HT_Temp,HT_Time,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,N,Name,Nb,Nb+Ta,Ni+Co,Other,Others,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,Sn,Suitable_For,Ti,Zn,Zr,url
638,0.08,56.5,,,,23.0,,0.46,,,,0.015,,,,0.365,487.5,,420.0, E6013,"aws-a5.1/a5.1m:-e7014
asme-sfa-a5.1:-e7014
abs:-e7014
lloyd’s-register:-1m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb:-e4914
welding-positions
all",1026.0,"•-high-deposition-rates
•-excellent-operator-appeal
•-easy-to-use
•-operates-on-low-amperages",Requirements - AWS E6013,Typical Results(3) - As-Welded,"•-maintenance-and-repair-welding
•-sheet-metal-and-fillet-welds
•-heavy-sections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,,0.30000000000000004,,,17.0,,1.0,,0.2,0.5,0.03,,,,0.8,490.0,0.1,400.0, E7014,"key-features
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)superior-puddle-control",1028.0,"conformances
aws-a5.5/a5.5m:-2006-e8010-g,-e8010-p1*
asme-sfa-a5.5:-e8010-g,-e8010-p1*
abs:-e8010-g
cwb/csa-w48-06:-e5510-g
tuv:-din-en-iso-2560-a:e
*-this-product-is-classified-as-an-e8010-g;-however,-it-also-meets-the-requirements-of-an-e8010-p1.
welding-positions
all",Requirements - AWS E7014,Typical Results(3) - As-Welded,"diameters-/-packaging
diameter-length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,0.15,74.0,0.105,,,26.0,,0.9,,0.1,0.86,,,,,0.17500000000000002,537.5,0.03,455.0, E7014,"key-features
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)superior-puddle-control",1029.0,"conformances
aws-a5.5/a5.5m:-2006-e8010-g,-e8010-p1*
asme-sfa-a5.5:-e8010-g,-e8010-p1*
abs:-e8010-g
cwb/csa-w48-06:-e5510-g
tuv:-din-en-iso-2560-a:e
*-this-product-is-classified-as-an-e8010-g;-however,-it-also-meets-the-requirements-of-an-e8010-p1.
welding-positions
all",Requirements - AWS E7014,Typical Results(3) - As-Welded,"diameters-/-packaging
diameter-length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,0.12,,,,,19.0,,0.6000000000000001,,0.525,,0.03,,0.03,,0.4,550.0,,460.0, E8010-G,"aws-a5.5/a5.5m:-2006-e7010-a1
asme-sfa-a5.5:-e7010-a1
abs:-e7010-a1
cwb/csa-w48-06:-e4910-a1
tuv:-din-en-iso-2560-a:e
mil-e-22200/7:-mil-7010-a1
welding-positions
all",1031.0,"(cid:23)(cid:3)for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration-and-superior-puddle-control
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)capable-of-480-mpa-(70-ksi)-tensile-strength-
weld-deposits",Requirements - AWS E8010-G,Typical Results(3) - As-Welded,"(cid:23)(cid:3)api-5l-x42-through-x56-grade-pipe-
(cid:23)(cid:3)cross-country-and-in-plant-pipe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,0.095,59.0,,,,25.0,,0.44,,0.51,,0.015,,,,0.17,637.5,,540.0, E8010-G,"aws-a5.5/a5.5m:-2006-e7010-a1
asme-sfa-a5.5:-e7010-a1
abs:-e7010-a1
cwb/csa-w48-06:-e4910-a1
tuv:-din-en-iso-2560-a:e
mil-e-22200/7:-mil-7010-a1
welding-positions
all",1032.0,"(cid:23)(cid:3)for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration-and-superior-puddle-control
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)capable-of-480-mpa-(70-ksi)-tensile-strength-
weld-deposits",Requirements - AWS E8010-G,Typical Results(3) - As-Welded,"(cid:23)(cid:3)api-5l-x42-through-x56-grade-pipe-
(cid:23)(cid:3)cross-country-and-in-plant-pipe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,22.0,,,,,,,,,,,490.0,,390.0, E7010-A1,,1034.0,,Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,39.0,0.30000000000000004,,,27.5,,1.0,,0.2,0.5,0.03,,0.03,,0.8,560.0,0.1,475.0, E7010-A1,"key-features
(cid:23)(cid:3)light-slag-for-mal-arc-interference-
(cid:23)(cid:3)deep-penetration-
(cid:23)(cid:3)clean,-visible-weld-puddle-
(cid:23)(cid:3)superior-puddle-control",1035.0,"conformances
aws-a5.5/a5.5m:-2006-e9010-g
asme-sfa-a5.5:-e9010-g
welding-positions
all",Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,diameters-/-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,0.05,,0.05,,,,,1.175,,0.02,0.04,0.01,,,,0.425,,0.01,, E8018-B2,,104.0,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E8018-B2,"Typical Performance
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,17.0,,,,,,,,,,,620.0,,530.0, E9010-G,,1037.0,,Requirements - AWS E9010-G,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,0.1,69.5,,,,23.0,,1.5,,,0.35000000000000003,,,0.025,,0.8,655.0,,567.5, E9010-G,"typical-applications-------------
•-offshore-oil-pipework
•-fittings",1038.0,"•-moisture-resistant-coating-provides-low-amount-of-weld-m
hydrogen-levels-for-a-superior-weld
•-developed-to-resist-sulphide-induced-stress-corrosion-cra
•-improved-sub-zero-toughness
welding-positions------------
all,-except-vertical-down",Requirements - AWS E9010-G,Typical Results(3) - As-Welded,"conformances
metal-aws-5.5-e9018-d1
bs-2493-mnmobh
acking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,0.15,27.0,,,,22.0,,0.56,,0.29,0.015,,,,,0.13,490.0,0.01,415.0, E7010-P1,diameters-/-packaging,1041.0,"(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)superior-puddle-control",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x65-grade-pipe
(cid:23)(cid:3)vertical-down-welding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,41.5,,,,25.0,,,,,,,,,,,580.0,,480.0, E7010-P1,,1042.0,,Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,0.045,27.0,0.025,,,22.0,,0.8250000000000001,,,,0.016,,0.008,,0.405,490.0,0.01,400.0, E7024-1,"diameters-/-packaging
diameter-length
-1",1044.0,"(cid:23)(cid:3)high-deposition-rates
(cid:23)(cid:3)smooth-bead-appearance
(cid:23)(cid:3)mal-spatter
(cid:23)(cid:3)shallow-penetration",Requirements - AWS E7024-1,Typical Results(3) - As-Welded,"(cid:23)(cid:3)large-welds
(cid:23)(cid:3)slightly-downhill-(15°-positions
(cid:23)(cid:3)multiple-pass-welding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,43.5,,,,26.5,,,,,,,,,,,547.5,,472.5, E7024-1,,1045.0,,Requirements - AWS E7024-1,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,47.0,,,,19.0,,,,,,,,,,,550.0,,460.0, E8018-B2,,1048.0,,Requirements - AWS E8018-B2,"Typical Performance
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,0.075,,6.0,0.005,,,,0.7000000000000001,,0.15,,0.012,,0.015,,0.225,,,, E8018-B2,"on-aws-a5.5-e9018-b3
mium,-
bs-en-iso-3580-a-e-crmo1-b-3-2
loy-
bs-en-iso-3580-b-e-6216-2c1m
bs-2493-2crmo-b-h
din-8575-ecrmo-2-b-2-6
w-
5-ppm)",1049.0,"•-designed-for-prolonged-•-designed-for-all-positio
elevated-temperatures-up-welding-of-2.25%-chrom
to-600°c-(1112°f)-1%-molybdenum-low-all
steels
•-refineries-where-corrosion-
resistance-to-sulphur-•-trace-elements-are-
bearing-crude-oil-is-at-controlled-to-ensure-low
250-450°c-(482-842°f)-bruscato-(x-factor-15
and-wantanbe-
(j-factor-180-ppm)-fa
welding-positions----------
all",Requirements - AWS E8018-B2,"Typical Performance
As-Welded",diameters-/-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,0.075,47.0,5.0,,,17.0,,0.75,,0.55,0.4,0.025,,0.025,,0.8,630.0,,540.0, E9018-B3,"typical-applications-------------
•-piping
•-steam-generating-power-plant
•-pressure-vessels
•-oil-refineries",1051.0,"•-moisture-resistant-coating-provides-low-amounts-of-weld
metal-hydrogen-levels-for-a-superior-weld
•-designed-for-high-strength-and-improved-corrosion-resist
with-hot-hydrogen-gas,-super-heated-steam,-and-sulphur
crude-oils
welding-positions------------
all,-except-vertical-down",Requirements - AWS E9018-B3,"Typical Performance
As-Welded","conformances
d-aws-5.5-e8015-b6
bs-en-iso-3580-a-e-crmo5-b-3-2-h5
tance-
bs-en-iso-3580-b-e-6216-5cm
r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,,,,,,,,,,,,,,,,,,,, E9018-B3,,1052.0,,Requirements - AWS E9018-B3,"Typical Performance
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,47.0,,,,17.0,,,,,,,,,,,630.0,,540.0, E9018-B3,,106.0,,Requirements - AWS E9018-B3,"Typical Performance
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,34.0,,,,19.0,,,,,,,,,,,590.0,,60.0,"
 E8015-B8 H4 4",,1055.0,,"Requirements
AWS E8015-B8 H4 4","Typical Performance(3)
After 2 hours of PWHT at 720°C (1330°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,0.1,90.0,,,,22.0,,0.5750000000000001,,0.05,1.025,0.01,,0.01,,0.30000000000000004,710.0,0.25,600.0,"
 E8015-B8 H4 4","aws-a5.5-e9015-b91
bs-en-iso-3580-b-e-6216-9c1mv
91,",1056.0,"•-improved-long-term-creep-properties
•-can-weld-equivalent-(p91)-9crmo-steels
•-designed-to-weld-the-modified-steels-t91,-p91-or-grade-9
which-are-designed-to-provide-improved-creep-strength,-
toughness-fatigue-and-oxidation,-and-corrosion-resistance
at-elevated-temperatures.
welding-positions----------
all","Requirements
AWS E8015-B8 H4 4","Typical Performance(3)
After 2 hours of PWHT at 720°C (1330°F)","diameters-/-packaging
diameter-4.5-kg-(10-lb)-
mm-(in)-easy-open-can",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,0.046,,9.0,0.25,,17.0,,0.85,,1.025,0.6000000000000001,0.01,,0.01,,0.30000000000000004,620.0,0.2,530.0, E9015-B9,"typical-applications-------------
•-power-generating-plants-•-oil-refineries
•-main-steam-piping-•-coal-liquefaction-and-
gasification-plants
•-turbine-casting",1058.0,"•-developed-with-additional-amounts-of-niobium,-vanadium
nitrogen-to-improve-toughness-and-long-term-creep-resis
•-designed-to-provide-creep-resistance-in-high-integrity-stru
services-with-elevated-temperatures
welding-positions------------
all,-except-vertical-down",Requirements - AWS E9015-B9,"Typical Results(3)
PWHT 2 hr @ 760°C (1400°F)","conformances
m,-and-aws-5.5-e9015-b9-h4
stance
bs-en-iso-3580-a-e-crmo91-b-3-2-
uctural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,75.0,,,,22.5,,,,,,,,,,,710.0,,590.0, E9015-B9,,1059.0,,Requirements - AWS E9015-B9,"Typical Results(3)
PWHT 2 hr @ 760°C (1400°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,17.0,47.0,,,,,,,,,,620.0,,30.0,"
 E9015-B9 H4 5",,1061.0,,"Requirements
AWS E9015-B9 H4 5","Typical Performance(3)
After 2 hours PWHT at 760°C (1400°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,0.15,,0.2,,4.0,22.0,1.0,1.6,1.75,0.30000000000000004,,0.035,,,0.1675,0.75,720.0,0.08,640.0,"
 E9015-B9 H4 5","diameters-/-packaging
h4r",1062.0,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc","Requirements
AWS E9015-B9 H4 5","Typical Performance(3)
After 2 hours PWHT at 760°C (1400°F)","power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,0.15,27.0,0.2,,4.0,22.0,,1.6,1.75,0.30000000000000004,,0.035,,,0.1675,0.75,490.0,0.08,400.0, E7018 H4R,"diameters-/-packaging
h4r",1065.0,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION","power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,0.055,226.5,0.045,,2.5,31.0,,1.28,1.395,0.05,,0.015,,,0.026666666699999998,0.51,557.5,0.02,470.0, E7018 H4R,"diameters-/-packaging
h4r",1066.0,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION","power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,0.15,27.0,0.2,,4.0,22.0,,1.6,,0.30000000000000004,0.30000000000000004,,0.1925,,,0.75,490.0,,400.0, E7018 H4R,,1068.0,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION","nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,0.07,226.5,0.03,,2.0,31.0,,0.97,,0.225,0.02,,0.01,,,0.27,557.5,,470.0, E7018 H4R,,1069.0,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION","nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,62.5,,,,23.5,,,,,,,,,,,752.5,,682.5, E10018-D2 H4R,,10.0,,Requirements - AWS E10018-D2 H4R,"Typical Results(3) - Stress-Relieved
  1 hr @ 620°C (1150°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,0.12,,0.2,,,,,1.3,,0.5,1.0,0.03,,,,0.8,,0.05,, E9018-B3,,107.0,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E9018-B3,"Typical Performance
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,27.0,,,,22.0,,,,,,,,,,,490.0,,400.0,"
 E7018-1 H4R",,1071.0,,"Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,,112.5,,,,28.0,,,,,,,,,,,585.0,,485.0,"
 E7018-1 H4R",,1072.0,,"Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,,27.0,,,,22.0,,,,,,,,,,,490.0,,400.0, E7028 H8,,1075.0,,Requirements - AWS E7028 H8,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,0.15,138.5,0.2,,8.0,30.5,,1.6,1.75,0.30000000000000004,,0.035,,,0.1675,0.9,550.0,0.08,460.0, E7028 H8,"key-features
-
high-deposition-rates
-
premium-arc-performance
-
high-travel-speed
-
h8-diffusible-hydrogen-levels
-
capable-of-producing-weld-deposits-with-
impact-toughness-exceeding-84-j-(60-ft•lbf)-
at-40°c-(-40°f)
y)
welding-positions
flat-&-horizontal",1076.0,"typical-applications
-
structural-storage-tanks
-
heavy-fabrication-bridge-fabrication
-
shipbuilding",Requirements - AWS E7028 H8,Typical Results(3) - As-Welded,"conformances
aws-a5.1/a5.1m:-2004-e7028-h8
asme-sfa-a5.1:-e7028-h8
abs:-e7028,-3y-h10-(fillet-only
lloyd’s-register:-3ym-h10
dnv-grade:-3-yh10
cwb/csa-w48-06:-e4928-h8
aws-e7028-h8-•-mild-steel,-low-hydrogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,,27.0,,,,22.0,,,,,,,,,,,490.0,,400.0, E7018 H4R,,1078.0,,Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,0.15,245.0,0.30000000000000004,,,29.5,,1.6,,0.08,,0.035,,0.035,,0.75,530.0,1.75,442.5, E7018 H4R,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",1079.0,•-smooth-arc-performance,Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,27.0,,,,22.0,,,,,,,,,,,490.0,,400.0, E7018 H4R,,1081.0,,Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,0.15,254.5,0.30000000000000004,,,28.0,,1.6,,0.08,,0.035,,0.035,,0.75,567.5,1.75,492.5, E7018 H4R,"aws-a5.1/a5.1m:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018
lloyd’s-register:-3ym-h5
dnv-grade:-3-yh5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06-e4918-1",1082.0,•-smooth-arc-performance,Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,,27.0,,,,22.0,,,,,,,,,,,490.0,,400.0, E7018 H8,,1084.0,,Requirements - AWS E7018 H8,Typical Results(3) - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,0.15,51.5,0.30000000000000004,,,26.0,,1.6,,0.08,,0.035,,0.035,,0.75,600.0,1.75,530.0, E7018 H8,"aws-a5.1/a5.1m:-e7018-h8
asme-sfa-a5.1:-e7018-h8
cwb/csa-w48-06:-e4918-h8
welding-positions
all,-except-vertical-down",1085.0,"•-ac-polarity-welding
•-low-open-circuit-voltage-operation
•-mal-spatter
•-capable-of-cold-re-strikes",Requirements - AWS E7018 H8,Typical Results(3) - As-Welded,"•-general-fabrication
•-tack-and-skip-welds
•-thin-sections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
