,A5,AWS,Ag,Al,Applications,As,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Diffusible Hydrogen,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Ni+Mn,Other,Others,P,P S,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,S Ni,SN,Si,Si P,Sn,Suitable_For,Ti,V,W,Zn,Zr,conformances,ind,url
698,,,,,"nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,,0.15,,,0.2,,,,4.0,,,,,,,,,,,,1.6,,0.3,,,,,0.3,,,,,,0.1925,,,,,,,,,0.75,,,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",,,,,,nan,403,
699,,,,,"nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,,0.07,,,0.03,,,,2.0,,,,,,,,,,,,0.97,,0.225,,,,,0.02,,,,,,0.01,,,,,,,,,0.27,,,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",,,,,,nan,403,
7,,,,,"chromium-molybdenum-and-other-low-alloy-steels,-
including-aisi-4130,-4140,-8630-and-astm-a182-and-
a336-grades-f22
carbon-manganese-and-other-low-alloy-steels
offshore-and-subsea-components
process-piping
meets-nace-mr0175/iso15156-2",,,,0.1,,,,,,,2.5,,,,,,,,,,,,1.7999999999999998,,0.365,,,,,0.7250000000000001,,,,,0.015,,,,,,,0.01,,,0.42,,,"capable-of-exceeding-550-mpa-(80-ksi)-yield-
strength-after-12-hours-at-635°c-(1175°f)-on-
4130-aisi-steel-
premium-arc-performance
q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
easy-strike-and-re-strike-
effortless-slag-removal-
welding-positions
all,-except-vertical-down
d2-h4r",,,,,,"aws-a5.5/a5.5m:-2006-e10018-d2-h4r
asme-sfa-a5.5:-e10018-d2-h4r
abs:-3yq620-h5
lloyd’s-register:-3y62-h5
dnv-grade:-3y62-h5
cwb/csa-w48-06:-e6918-d2",3,
70,,,,,diameters-/-packaging,0.005,,,0.07500000000000001,,,6.0,0.005,,,,,,,,,,,,,,,0.7,,0.15,,,,,,,,,,0.012,,,,,,,0.015,,,0.22499999999999998,,0.01,"•-designed-for-prolonged-•-designed-for-all-positio
elevated-temperatures-up-welding-of-2.25%-chrom
to-600°c-(1112°f)-1%-molybdenum-low-all
steels
•-refineries-where-corrosion-
resistance-to-sulphur-•-trace-elements-are-
bearing-crude-oil-is-at-controlled-to-ensure-low
250-450°c-(482-842°f)-bruscato-(x-factor-15
and-wantanbe-
(j-factor-180-ppm)-fa
welding-positions----------
all",,,,,,"on-aws-a5.5-e9018-b3
mium,-
bs-en-iso-3580-a-e-crmo1-b-3-2
loy-
bs-en-iso-3580-b-e-6216-2c1m
bs-2493-2crmo-b-h
din-8575-ecrmo-2-b-2-6
w-
5-ppm)",38,
700,,,,,"•-power-generation-•-pressure-piping
•-petrochemical-•-fill-and-cap-pass-welding
to-x65-grade-pipe
•-pressure-vessels",,,,0.15,,,0.3,,,,,,,,,,,,,,,,1.6,,0.08,,,,,,,,,,0.035,,,,,,,0.035,,,0.75,,,"•-exceeds-aws-toughness-requirements-at-50°f
•-extreme-bend-ability
•-60%-less-moisture-pickup-vs.-competition
•-clear-puddle-and-a-smooth-arc
•-meets-chemical-composition-recommendations-of-api-7
•-q2-lot®-certificate-showing-actual-deposit-chemistry-an
mechanical-properties-available-online",,1.75,,,,"diameters-/-packaging
buy-america",404,
701,,,,,"•-power-generation-•-pressure-piping
•-petrochemical-•-fill-and-cap-pass-welding
to-x65-grade-pipe
•-pressure-vessels",,,,0.05500000000000001,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,0.0125,,,,,,,0.008,,,0.395,,,"•-exceeds-aws-toughness-requirements-at-50°f
•-extreme-bend-ability
•-60%-less-moisture-pickup-vs.-competition
•-clear-puddle-and-a-smooth-arc
•-meets-chemical-composition-recommendations-of-api-7
•-q2-lot®-certificate-showing-actual-deposit-chemistry-an
mechanical-properties-available-online",,,,,,"diameters-/-packaging
buy-america",404,
702,,,,,"conformances
aws-a5.1/a5.1m:-2004-e7028-h8
asme-sfa-a5.1:-e7028-h8
abs:-e7028,-3y-h10-(fillet-only
lloyd’s-register:-3ym-h10
dnv-grade:-3-yh10
cwb/csa-w48-06:-e4928-h8
aws-e7028-h8-•-mild-steel,-low-hydrogen",,,,0.15,,,0.2,,,,8.0,,,,,,,,,,,,1.6,1.75,0.3,,,,,,,,,,0.035,,,,,,,,0.16749999999999998,,0.9,,,"typical-applications
-
structural-storage-tanks
-
heavy-fabrication-bridge-fabrication
-
shipbuilding",,0.08,,,,"key-features
-
high-deposition-rates
-
premium-arc-performance
-
high-travel-speed
-
h8-diffusible-hydrogen-levels
-
capable-of-producing-weld-deposits-with-
impact-toughness-exceeding-84-j-(60-ft•lbf)-
at-40°c-(-40°f)
y)
welding-positions
flat-&-horizontal",405,
703,,,,,"conformances
aws-a5.1/a5.1m:-2004-e7028-h8
asme-sfa-a5.1:-e7028-h8
abs:-e7028,-3y-h10-(fillet-only
lloyd’s-register:-3ym-h10
dnv-grade:-3-yh10
cwb/csa-w48-06:-e4928-h8
aws-e7028-h8-•-mild-steel,-low-hydrogen",,,,0.045,,,0.035,,,,4.5,,,,,,,,,,,,1.3399999999999999,1.435,0.02,,,,,,,,,,0.0105,,,,,,,,0.018000000000000002,,0.605,,,"typical-applications
-
structural-storage-tanks
-
heavy-fabrication-bridge-fabrication
-
shipbuilding",,0.02,,,,"key-features
-
high-deposition-rates
-
premium-arc-performance
-
high-travel-speed
-
h8-diffusible-hydrogen-levels
-
capable-of-producing-weld-deposits-with-
impact-toughness-exceeding-84-j-(60-ft•lbf)-
at-40°c-(-40°f)
y)
welding-positions
flat-&-horizontal",405,
704,,,,,"•-general-fabrication
welding-positions
all,-except-vertical-down",,,,0.15,,,0.3,,,,,,,,,,,,,,,,1.6,,0.08,,,,,,,,,,0.035,,,,,,,0.035,,,0.75,,,•-smooth-arc-performance,,1.75,,,,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",406,
705,,,,,"•-general-fabrication
welding-positions
all,-except-vertical-down",,,,0.06,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,0.015,,,,,,,0.02,,,0.41500000000000004,,,•-smooth-arc-performance,,,,,,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",406,
706,,,,,"•-general-fabrication
welding-positions
all,-except-vertical-down",,,,0.15,,,0.3,,,,,,,,,,,,,,,,1.6,,0.08,,,,,,,,,,0.035,,,,,,,0.035,,,0.75,,,•-smooth-arc-performance,,1.75,,,,"aws-a5.1/a5.1m:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018
lloyd’s-register:-3ym-h5
dnv-grade:-3-yh5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06-e4918-1",407,
707,,,,,"•-general-fabrication
welding-positions
all,-except-vertical-down",,,,0.05500000000000001,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,0.01,,,,,,,0.01,,,0.41,,,•-smooth-arc-performance,,,,,,"aws-a5.1/a5.1m:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018
lloyd’s-register:-3ym-h5
dnv-grade:-3-yh5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06-e4918-1",407,
708,,,,,"•-general-fabrication
•-tack-and-skip-welds
•-thin-sections",,,,0.15,,,0.3,,,,,,,,,,,,,,,,1.6,,0.08,,,,,,,,,,0.035,,,,,,,0.035,,,0.75,,,"•-ac-polarity-welding
•-low-open-circuit-voltage-operation
•-mal-spatter
•-capable-of-cold-re-strikes",,1.75,,,,"aws-a5.1/a5.1m:-e7018-h8
asme-sfa-a5.1:-e7018-h8
cwb/csa-w48-06:-e4918-h8
welding-positions
all,-except-vertical-down",408,
709,,,,,"•-general-fabrication
•-tack-and-skip-welds
•-thin-sections",,,,0.05500000000000001,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,0.015,,,,,,,0.01,,,0.475,,,"•-ac-polarity-welding
•-low-open-circuit-voltage-operation
•-mal-spatter
•-capable-of-cold-re-strikes",,,,,,"aws-a5.1/a5.1m:-e7018-h8
asme-sfa-a5.1:-e7018-h8
cwb/csa-w48-06:-e4918-h8
welding-positions
all,-except-vertical-down",408,
71,,,,,"conformances
d-aws-5.5-e8015-b6
bs-en-iso-3580-a-e-crmo5-b-3-2-h5
tance-
bs-en-iso-3580-b-e-6216-5cm
r",,,,0.07500000000000001,,,5.0,,,,,,,,,,,,,,,,0.75,,0.55,,,,,0.4,,,,,0.025,,,,,,,0.025,,,0.8,,,"•-moisture-resistant-coating-provides-low-amounts-of-weld
metal-hydrogen-levels-for-a-superior-weld
•-designed-for-high-strength-and-improved-corrosion-resist
with-hot-hydrogen-gas,-super-heated-steam,-and-sulphur
crude-oils
welding-positions------------
all,-except-vertical-down",,,,,,"typical-applications-------------
•-piping
•-steam-generating-power-plant
•-pressure-vessels
•-oil-refineries",39,
710,,,,,"diameters-/-packaging
1-lb-(0.5-kg)",,,,0.15,,,0.3,,,,,,,,,,,,,,,,1.6,,0.08,,,,,,,,,,0.035,,,,,,,0.035,,,0.75,,,"•-50%-less-moisture-pick-vs.-competition
•-clear-weld-puddle-without-slag-interference
•-flat-bead-profile
•-no-intentional-addition-of-zinc-for-moisture-
resistance
welding-positions
all,-except-vertical-down",,1.75,,,,"aws-a5.1:-e7018-1-h4r
asme-sfa-a5.1:-e7018-1-h4r
cwb/csa-w48-06:-e4918-1-h4",409,
711,,,,,"diameters-/-packaging
1-lb-(0.5-kg)",,,,0.07,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,0.015,,,,,,,0.015,,,0.5,,,"•-50%-less-moisture-pick-vs.-competition
•-clear-weld-puddle-without-slag-interference
•-flat-bead-profile
•-no-intentional-addition-of-zinc-for-moisture-
resistance
welding-positions
all,-except-vertical-down",,,,,,"aws-a5.1:-e7018-1-h4r
asme-sfa-a5.1:-e7018-1-h4r
cwb/csa-w48-06:-e4918-1-h4",409,
712,,,,,"chromium-molybdenum-and-other-low-alloy-steels,-
including-aisi-4130,-4140,-8630-and-astm-a182-and-
a336-grades-f22
carbon-manganese-and-other-low-alloy-steels
offshore-and-subsea-components
process-piping
meets-nace-mr0175/iso15156-2",,,,0.15,,,,,,,4.0,,,,,,,,,,,,1.825,,0.35,,,,,0.9,,,,,0.03,,,,,,,0.03,,,0.8,,,"capable-of-exceeding-550-mpa-(80-ksi)-yield-
strength-after-12-hours-at-635°c-(1175°f)-on-
4130-aisi-steel-
premium-arc-performance
q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
easy-strike-and-re-strike-
effortless-slag-removal-
welding-positions
all,-except-vertical-down
d2-h4r",,,,,,"aws-a5.5/a5.5m:-2006-e10018-d2-h4r
asme-sfa-a5.5:-e10018-d2-h4r
abs:-3yq620-h5
lloyd’s-register:-3y62-h5
dnv-grade:-3y62-h5
cwb/csa-w48-06:-e6918-d2",410,
713,,,,,"chromium-molybdenum-and-other-low-alloy-steels,-
including-aisi-4130,-4140,-8630-and-astm-a182-and-
a336-grades-f22
carbon-manganese-and-other-low-alloy-steels
offshore-and-subsea-components
process-piping
meets-nace-mr0175/iso15156-2",,,,0.1,,,,,,,2.5,,,,,,,,,,,,1.7999999999999998,,0.365,,,,,0.7250000000000001,,,,,0.015,,,,,,,0.01,,,0.42,,,"capable-of-exceeding-550-mpa-(80-ksi)-yield-
strength-after-12-hours-at-635°c-(1175°f)-on-
4130-aisi-steel-
premium-arc-performance
q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
easy-strike-and-re-strike-
effortless-slag-removal-
welding-positions
all,-except-vertical-down
d2-h4r",,,,,,"aws-a5.5/a5.5m:-2006-e10018-d2-h4r
asme-sfa-a5.5:-e10018-d2-h4r
abs:-3yq620-h5
lloyd’s-register:-3y62-h5
dnv-grade:-3y62-h5
cwb/csa-w48-06:-e6918-d2",410,
714,,,,,"conformances
aws-a5.5/a5.5m:-2006-e11018m-h4r
asme-sfa-a5.5:-e11018m-h4r
abs:-4yq690-h5
dnv-grade:-4-ym69-h5
cwb/csa-w48-06:-e7618-m-h4r
s-e11018m-h4r-•-low-alloy,-low-hydrogen",,,,0.1,,,0.4,,,,4.0,,,,,,,,,,,,1.55,,0.375,,,,,1.875,,,,,,0.03,,,,,,,,,0.6,,,"typical-applications
quenched-and-tempered-crane-booms
steels,-such-as-a514,-
trailer-frames
a517-and-a709
general-fabrication-of-
high-strength-steels",,,,,,"key-features
capable-of-producing-weld-deposits-with-
760-mpa-(110-ksi)-tensile-strength-
premium-arc-performance-
square-coating-burn-off-
easy-strike-and-re-strike-
effortless-slag-removal
welding-positions
all,-except-vertical-down",411,
715,,,,,"conformances
aws-a5.5/a5.5m:-2006-e11018m-h4r
asme-sfa-a5.5:-e11018m-h4r
abs:-4yq690-h5
dnv-grade:-4-ym69-h5
cwb/csa-w48-06:-e7618-m-h4r
s-e11018m-h4r-•-low-alloy,-low-hydrogen",,,,0.045,,,0.11,,,,2.5,,,,,,,,,,,,1.675,,0.45,,,,,2.25,,,,,,0.02,,,,,,,,,0.47500000000000003,,,"typical-applications
quenched-and-tempered-crane-booms
steels,-such-as-a514,-
trailer-frames
a517-and-a709
general-fabrication-of-
high-strength-steels",,,,,,"key-features
capable-of-producing-weld-deposits-with-
760-mpa-(110-ksi)-tensile-strength-
premium-arc-performance-
square-coating-burn-off-
easy-strike-and-re-strike-
effortless-slag-removal
welding-positions
all,-except-vertical-down",411,
716,,,,,"nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,,0.15,,,0.2,,,,4.0,,,,,,,,,,,,1.6,,0.3,,,,,0.3,,,,,,0.1925,,,,,,,,,0.75,,,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",,,,,,nan,412,
717,,,,,"nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,,0.07,,,0.03,,,,2.0,,,,,,,,,,,,0.97,,0.225,,,,,0.02,,,,,,0.01,,,,,,,,,0.27,,,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",,,,,,nan,412,
718,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can-10-lb
1-h4r",,,,0.12,,,,,,,4.0,,,,,,,,,,,,0.9,,0.525,,,,,,,,,,,,,,,,,0.03,,,,0.41500000000000004,,"(cid:23)(cid:3)designed-for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)premium-arc-performance
(cid:23)(cid:3)square-coating-burn-off
(cid:23)(cid:3)easy-strike,-re-strike-and-slag-removal
(cid:23)(cid:3)capable-of-exceeding-aws-mum-
requirement-of-490-mpa-(70-ksi)-tensile-
strength-after-8-hours-of-stress-relieving-
at-620°c-(1150°f)",,,,,,"typical-applications
(cid:23)(cid:3)fabrication-and-maintenance-welding
(cid:23)(cid:3)pressure-vessels-and-pressure-piping",413,
719,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can-10-lb
1-h4r",,,,0.05,,,,,,,3.0,,,,,,,,,,,,0.675,,0.55,,,,,,,,,,,,,,,,,,,,,0.30333333333333334,,"(cid:23)(cid:3)designed-for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)premium-arc-performance
(cid:23)(cid:3)square-coating-burn-off
(cid:23)(cid:3)easy-strike,-re-strike-and-slag-removal
(cid:23)(cid:3)capable-of-exceeding-aws-mum-
requirement-of-490-mpa-(70-ksi)-tensile-
strength-after-8-hours-of-stress-relieving-
at-620°c-(1150°f)",,,,,,"typical-applications
(cid:23)(cid:3)fabrication-and-maintenance-welding
(cid:23)(cid:3)pressure-vessels-and-pressure-piping",413,
72,,,,,"conformances
res-up-aws-5.5-e8015-b8-h4
bs-en-iso-3580-a-e-crmo9-b-3-2-h5
d-metal-
bs-en-iso-3580-b-e-6216-9c1m",,,,0.07500000000000001,,,0.4,,,,,,,,,,,,,,,,0.75,,,,,,,1.05,,,,,,,,,,,,0.025,,,0.6,,,"•-designed-for-corrosion-resistance-in-elevated-temperatur
to-600⁰c-(1112⁰f)-
•-moisture-resistant-coating-provides-low-amounts-of-weld
hydrogen-levels-for-a-superior-weld
•-smooth-arc-performance-in-all-positions
welding-positions------------
all,-except-vertical-down",,,,,,"typical-applications-------------
•-oil-refineries-•-pressure-vessels
•-power-plants-•-heat-exchangers
•-piping",40,
720,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",,,,0.08499999999999999,,,1.25,,,,4.0,,,,,,,,,,,,0.9,,0.525,,,,,,,,,,0.03,,,,,,,0.03,,,0.8,,,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",414,
721,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",,,,0.095,,,1.175,,,,3.0,,,,,,,,,,,,0.7250000000000001,,0.5,,,,,,,,,,,,,,,,,,,,0.45,,,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",414,
722,,,,,"conformances
aws-a5.5/a5.5m:-e8018-c1-h4r
asme-sfa-a5.5:-e8018-c1-h4r
cwb/csa-w48-06:-e5518-c1",,,,0.12,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,2.375,,,0.8,,,"•-designed-to-produce-a-nol-2.25%-nickel-deposit
•-premium-arc-performance
•-square-coating-burn-off
•-easy-strike,-re-strike-and-slag-removal
welding-positions
all,-except-vertical-down",,,,,,"typical-applications
•-low-temperature-applications
•-refrigerated-ammonia-tanks
•-liquefied-gas-storage,-piping-and-transportation
•-weathering-steels
•-applications-requiring-stress-relieved-conditions",415,
723,,,,,"conformances
aws-a5.5/a5.5m:-e8018-c1-h4r
asme-sfa-a5.5:-e8018-c1-h4r
cwb/csa-w48-06:-e5518-c1",,,,0.07,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,,,"•-designed-to-produce-a-nol-2.25%-nickel-deposit
•-premium-arc-performance
•-square-coating-burn-off
•-easy-strike,-re-strike-and-slag-removal
welding-positions
all,-except-vertical-down",,,,,,"typical-applications
•-low-temperature-applications
•-refrigerated-ammonia-tanks
•-liquefied-gas-storage,-piping-and-transportation
•-weathering-steels
•-applications-requiring-stress-relieved-conditions",415,
724,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-c3-h4r
asme-sfa-a5.5:-e8018-c3-h4r
abs:-e8018-c3-h4r
cwb/csa-w48-06:-e5518-c3
en-iso-2560-b:-e5518-n2-a-u-h5",,,,0.12,,,0.15,,,,4.0,,,,,,,,,,,,0.825,,0.35,,,,,0.9500000000000001,,,,,0.03,,,,,,,0.03,,,0.8,,,"typical-applications
(cid:23)(cid:3)shipbuilding-(cid:23)(cid:3)weathering-steels
(cid:23)(cid:3)piping-and-gas-(cid:23)(cid:3)cross-country-
storage-tanks-pipe-repair",,0.05,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-op
in-(mm)-in-(mm)-30-lb-(13.6-kg)-master
s-e8018-c3-h4r-•-low-alloy,-low-hydrogen",416,
725,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-c3-h4r
asme-sfa-a5.5:-e8018-c3-h4r
abs:-e8018-c3-h4r
cwb/csa-w48-06:-e5518-c3
en-iso-2560-b:-e5518-n2-a-u-h5",,,,0.05500000000000001,,,0.05,,,,1.5,,,,,,,,,,,,0.825,,0.17,,,,,0.9500000000000001,,,,,,,,,,,,,,,0.34500000000000003,,,"typical-applications
(cid:23)(cid:3)shipbuilding-(cid:23)(cid:3)weathering-steels
(cid:23)(cid:3)piping-and-gas-(cid:23)(cid:3)cross-country-
storage-tanks-pipe-repair",,,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-op
in-(mm)-in-(mm)-30-lb-(13.6-kg)-master
s-e8018-c3-h4r-•-low-alloy,-low-hydrogen",416,
726,,,,,"conformances
aws-a5.5/a5.5m:-2006-e9018-b3-h4r
asme-sfa-a5.5:-e9018-b3-h4r
cwb/csa-w48-06:-e6218-b3
welding-positions
all,-except-vertical-down",,,,0.08499999999999999,,,2.25,,,,4.0,,,,,,,,,,,,0.9,,1.05,,,,,,,,,,0.03,,,,,,,0.03,,,0.8,,,"typical-applications
(cid:23)(cid:3)2.25%-chromium,-(cid:23)(cid:3)petrochemical
1%-molybdenum-steels
(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)power-generation
(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e9018-b3-h4r-•-low-alloy,-low-hydrogen",417,
727,,,,,"conformances
aws-a5.5/a5.5m:-2006-e9018-b3-h4r
asme-sfa-a5.5:-e9018-b3-h4r
cwb/csa-w48-06:-e6218-b3
welding-positions
all,-except-vertical-down",,,,0.07500000000000001,,,2.335,,,,3.0,,,,,,,,,,,,0.72,,1.08,,,,,,,,,,,,,,,,,,,,0.44,,,"typical-applications
(cid:23)(cid:3)2.25%-chromium,-(cid:23)(cid:3)petrochemical
1%-molybdenum-steels
(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)power-generation
(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e9018-b3-h4r-•-low-alloy,-low-hydrogen",417,
728,,,,,"(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",,,,0.1,,,0.15,,,,4.0,,,,,,,,,,,,0.925,,0.35,,,,,1.6,,,,,,0.03,,,,,,,,,0.8,,,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r",,,,,,"aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",418,
729,,,,,"(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",,,,0.05500000000000001,,,0.08499999999999999,,,,2.0,,,,,,,,,,,,1.0,,0.3,,,,,1.65,,,,,,0.013333333333333334,,,,,,,,,0.4,,,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r",,,,,,"aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",418,
73,,,,,"diameters-/-packaging
diameter-4.5-kg-(10-lb)-
mm-(in)-easy-open-can",,,,0.1,,,,,,,,,,,,,,,,,,,0.575,,0.05,,,0.2,,1.025,,,,,0.01,,,,,,,0.01,,,0.3,,,"•-improved-long-term-creep-properties
•-can-weld-equivalent-(p91)-9crmo-steels
•-designed-to-weld-the-modified-steels-t91,-p91-or-grade-9
which-are-designed-to-provide-improved-creep-strength,-
toughness-fatigue-and-oxidation,-and-corrosion-resistance
at-elevated-temperatures.
welding-positions----------
all",,0.25,,,,"aws-a5.5-e9015-b91
bs-en-iso-3580-b-e-6216-9c1mv
91,",41,
730,,,,,"(cid:23)(cid:3)cross-country-and-in-plant-pipe-welding
(cid:23)(cid:3)root-pass-on-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-on-up-to-x60-grade-pipe",,,,0.2,,,0.2,,,,,,,,,,,,,,,,1.2,,0.3,,,,,0.3,,,,,,,,,,,,,,,1.0,,,"(cid:23)(cid:3)high-operator-appeal-and-control
(cid:23)(cid:3)easy-slag-removal
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online
(cid:23)(cid:3)standard-in-the-pipe-welding-industry",,0.08,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-open-ca",419,
